Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9
331,"(4, 2013)","(40, 2014)","(102, 2012)","(19, 2013)","(0, 2017)","(8, 2012)","(40, 2014)","(25, 2014)","(104, 2013)","(0, 2014)"
332,"(8, 2015)","(25, 2014)","(40, 2013)","(58, 2012)","(40, 2013)","(8, 2017)","(40, 2015)","(40, 2014)","(58, 2014)","(58, 2014)"
333,"(0, 2016)","(0, 2013)","(19, 2012)","(0, 2013)","(4, 2012)","(40, 2014)","(58, 2017)","(4, 2017)","(25, 2014)","(58, 2014)"
334,"(8, 2016)","(19, 2014)","(4, 2013)","(58, 2016)","(25, 2016)","(19, 2012)","(19, 2015)","(25, 2016)","(8, 2012)","(40, 2017)"
335,"(104, 2013)","(104, 2016)","(8, 2016)","(104, 2017)","(25, 2014)","(8, 2014)","(40, 2015)","(104, 2014)","(104, 2014)","(25, 2016)"
336,"(40, 2016)","(58, 2014)","(8, 2013)","(19, 2016)","(102, 2014)","(104, 2012)","(4, 2014)","(58, 2017)","(104, 2014)","(40, 2013)"
337,"(25, 2017)","(8, 2016)","(4, 2017)","(19, 2012)","(102, 2013)","(0, 2016)","(40, 2012)","(58, 2016)","(19, 2015)","(4, 2014)"
338,"(0, 2017)","(19, 2017)","(8, 2013)","(19, 2013)","(4, 2014)","(8, 2016)","(58, 2016)","(58, 2013)","(40, 2016)","(4, 2015)"
339,"(25, 2012)","(8, 2016)","(58, 2015)","(0, 2016)","(8, 2015)","(40, 2014)","(40, 2014)","(40, 2015)","(40, 2014)","(25, 2013)"
340,"(0, 2013)","(58, 2012)","(25, 2016)","(0, 2013)","(104, 2017)","(4, 2016)","(8, 2015)","(4, 2015)","(102, 2014)","(0, 2016)"
341,"(104, 2012)","(104, 2013)","(8, 2013)","(19, 2016)","(8, 2016)","(4, 2014)","(58, 2014)","(104, 2012)","(104, 2013)","(40, 2016)"
342,"(0, 2012)","(4, 2013)","(4, 2015)","(8, 2012)","(4, 2017)","(4, 2017)","(40, 2014)","(40, 2012)","(40, 2012)","(102, 2013)"
343,"(104, 2017)","(40, 2017)","(19, 2016)","(104, 2017)","(4, 2016)","(8, 2017)","(25, 2016)","(19, 2012)","(25, 2014)","(58, 2017)"
344,"(8, 2015)","(4, 2014)","(4, 2016)","(4, 2017)","(102, 2013)","(8, 2015)","(0, 2016)","(40, 2017)","(40, 2012)","(8, 2016)"
345,"(8, 2012)","(19, 2016)","(19, 2017)","(8, 2017)","(0, 2015)","(19, 2016)","(19, 2014)","(25, 2017)","(40, 2016)","(0, 2012)"
346,"(19, 2016)","(4, 2012)","(0, 2013)","(40, 2013)","(8, 2014)","(25, 2016)","(0, 2016)","(19, 2015)","(0, 2015)","(40, 2015)"
347,"(40, 2015)","(25, 2013)","(0, 2013)","(0, 2014)","(58, 2013)","(4, 2012)","(102, 2017)","(4, 2017)","(40, 2014)","(58, 2016)"
348,"(25, 2012)","(19, 2012)","(8, 2014)","(104, 2015)","(4, 2017)","(58, 2015)","(19, 2015)","(102, 2015)","(8, 2013)","(8, 2014)"
349,"(104, 2015)","(40, 2013)","(19, 2015)","(40, 2013)","(58, 2012)","(58, 2014)","(19, 2017)","(19, 2012)","(25, 2017)","(102, 2014)"
350,"(8, 2012)","(8, 2017)","(8, 2015)","(0, 2014)","(40, 2015)","(8, 2013)","(104, 2013)","(25, 2016)","(0, 2016)","(19, 2014)"
351,"(0, 2015)","(58, 2013)","(104, 2017)","(8, 2015)","(19, 2013)","(102, 2017)","(0, 2016)","(25, 2013)","(19, 2017)","(4, 2015)"
352,"(4, 2015)","(8, 2012)","(102, 2013)","(19, 2012)","(40, 2013)","(4, 2013)","(58, 2014)","(102, 2012)","(102, 2012)","(58, 2016)"
353,"(40, 2013)","(4, 2016)","(4, 2017)","(4, 2012)","(104, 2013)","(40, 2013)","(58, 2016)","(102, 2014)","(25, 2017)","(4, 2012)"
354,"(4, 2015)","(40, 2013)","(58, 2016)","(102, 2015)","(58, 2015)","(4, 2016)","(19, 2014)","(58, 2014)","(40, 2016)","(58, 2013)"
355,"(0, 2012)","(4, 2014)","(104, 2016)","(58, 2013)","(58, 2015)","(25, 2013)","(40, 2012)","(102, 2016)","(8, 2015)","(8, 2012)"
356,"(25, 2016)","(19, 2017)","(19, 2014)","(0, 2013)","(0, 2014)","(25, 2014)","(58, 2017)","(0, 2012)","(8, 2015)","(8, 2014)"
357,"(8, 2013)","(58, 2015)","(104, 2017)","(40, 2012)","(0, 2012)","(4, 2014)","(102, 2016)","(25, 2015)","(104, 2014)","(0, 2016)"
358,"(40, 2013)","(25, 2015)","(58, 2014)","(104, 2017)","(4, 2012)","(40, 2014)","(40, 2014)","(102, 2015)","(25, 2017)","(25, 2016)"
359,"(19, 2013)","(0, 2014)","(25, 2013)","(58, 2012)","(0, 2016)","(58, 2012)","(25, 2016)","(102, 2012)","(4, 2012)","(4, 2015)"
360,"(40, 2017)","(8, 2014)","(104, 2015)","(8, 2014)","(8, 2012)","(40, 2013)","(0, 2012)","(104, 2016)","(58, 2013)","(4, 2015)"
361,"(19, 2012)","(8, 2016)","(4, 2014)","(104, 2013)","(4, 2014)","(0, 2016)","(4, 2012)","(102, 2013)","(104, 2016)","(102, 2015)"
362,"(19, 2016)","(40, 2014)","(0, 2015)","(0, 2016)","(58, 2016)","(8, 2013)","(19, 2014)","(58, 2016)","(4, 2015)","(19, 2017)"
363,"(40, 2012)","(58, 2012)","(102, 2015)","(19, 2016)","(58, 2015)","(25, 2016)","(58, 2013)","(25, 2014)","(58, 2014)","(25, 2015)"
364,"(0, 2016)","(40, 2016)","(102, 2014)","(25, 2014)","(8, 2017)","(25, 2015)","(102, 2017)","(4, 2012)","(19, 2017)","(0, 2014)"
365,"(19, 2016)","(0, 2013)","(40, 2013)","(0, 2017)","(25, 2013)","(19, 2015)","(104, 2017)","(102, 2017)","(0, 2012)","(19, 2017)"
366,"(102, 2016)","(8, 2012)","(40, 2015)","(8, 2017)","(102, 2014)","(0, 2012)","(58, 2015)","(4, 2013)","(0, 2015)","(102, 2017)"
367,"(102, 2016)","(40, 2012)","(104, 2013)","(102, 2014)","(8, 2015)","(19, 2014)","(0, 2016)","(4, 2013)","(8, 2014)","(102, 2012)"
368,"(0, 2012)","(8, 2014)","(25, 2017)","(25, 2015)","(0, 2017)","(40, 2012)","(0, 2013)","(104, 2014)","(4, 2015)","(104, 2012)"
369,"(58, 2014)","(25, 2016)","(25, 2016)","(102, 2017)","(102, 2013)","(25, 2017)","(19, 2013)","(25, 2014)","(102, 2016)","(58, 2014)"
370,"(102, 2012)","(19, 2015)","(0, 2017)","(102, 2016)","(4, 2016)","(8, 2012)","(104, 2017)","(25, 2017)","(0, 2013)","(102, 2013)"
371,"(4, 2013)","(102, 2014)","(104, 2013)","(19, 2017)","(104, 2014)","(25, 2014)","(104, 2017)","(102, 2016)","(58, 2016)","(25, 2014)"
372,"(40, 2016)","(8, 2015)","(8, 2014)","(40, 2014)","(40, 2013)","(19, 2012)","(40, 2014)","(0, 2017)","(19, 2015)","(58, 2017)"
373,"(102, 2014)","(102, 2015)","(102, 2012)","(104, 2013)","(4, 2014)","(0, 2014)","(104, 2017)","(8, 2013)","(102, 2017)","(40, 2017)"
374,"(25, 2015)","(8, 2017)","(8, 2013)","(8, 2012)","(58, 2015)","(4, 2015)","(19, 2016)","(58, 2014)","(102, 2017)","(104, 2016)"
375,"(58, 2013)","(25, 2012)","(19, 2015)","(40, 2014)","(102, 2012)","(8, 2017)","(104, 2013)","(40, 2012)","(102, 2013)","(19, 2015)"
376,"(102, 2016)","(0, 2017)","(8, 2012)","(0, 2012)","(40, 2014)","(25, 2016)","(40, 2015)","(58, 2015)","(102, 2015)","(0, 2013)"
377,"(58, 2016)","(8, 2017)","(25, 2012)","(58, 2014)","(8, 2013)","(40, 2016)","(104, 2017)","(104, 2012)","(40, 2013)","(0, 2016)"
378,"(19, 2013)","(102, 2013)","(8, 2016)","(8, 2015)","(0, 2015)","(0, 2012)","(104, 2015)","(58, 2017)","(8, 2015)","(40, 2014)"
379,"(40, 2017)","(40, 2015)","(4, 2012)","(0, 2017)","(102, 2017)","(19, 2017)","(19, 2012)","(4, 2016)","(25, 2015)","(104, 2017)"
380,"(104, 2014)","(40, 2014)","(58, 2013)","(40, 2012)","(40, 2012)","(0, 2017)","(0, 2016)","(102, 2017)","(102, 2015)","(104, 2016)"
381,"(102, 2016)","(0, 2015)","(0, 2017)","(40, 2016)","(40, 2017)","(4, 2014)","(40, 2012)","(4, 2015)","(40, 2012)","(102, 2015)"
382,"(8, 2017)","(8, 2012)","(0, 2015)","(19, 2015)","(0, 2012)","(102, 2013)","(19, 2012)","(102, 2014)","(4, 2014)","(40, 2014)"
383,"(58, 2014)","(4, 2016)","(104, 2015)","(25, 2012)","(40, 2012)","(104, 2013)","(8, 2016)","(4, 2015)","(19, 2016)","(4, 2013)"
384,"(19, 2013)","(0, 2017)","(0, 2013)","(19, 2012)","(104, 2012)","(19, 2015)","(4, 2016)","(25, 2016)","(58, 2015)","(58, 2016)"
385,"(19, 2015)","(104, 2016)","(8, 2014)","(104, 2017)","(4, 2013)","(19, 2016)","(25, 2015)","(25, 2014)","(19, 2013)","(19, 2014)"
386,"(19, 2012)","(8, 2015)","(58, 2013)","(40, 2014)","(102, 2016)","(58, 2014)","(102, 2012)","(4, 2012)","(8, 2015)","(19, 2016)"
387,"(58, 2013)","(58, 2013)","(102, 2014)","(25, 2016)","(25, 2017)","(19, 2015)","(104, 2016)","(102, 2013)","(8, 2016)","(104, 2015)"
388,"(4, 2014)","(104, 2015)","(40, 2012)","(19, 2017)","(19, 2013)","(102, 2015)","(58, 2016)","(25, 2016)","(40, 2014)","(40, 2013)"
389,"(58, 2012)","(8, 2012)","(104, 2017)","(40, 2016)","(40, 2012)","(104, 2012)","(104, 2014)","(102, 2015)","(4, 2014)","(58, 2012)"
390,"(19, 2014)","(8, 2017)","(40, 2014)","(102, 2013)","(102, 2013)","(58, 2013)","(0, 2013)","(19, 2012)","(8, 2017)","(25, 2015)"
391,"(25, 2017)","(25, 2014)","(0, 2013)","(8, 2014)","(19, 2016)","(0, 2015)","(104, 2012)","(8, 2014)","(104, 2016)","(104, 2015)"
392,"(40, 2016)","(102, 2016)","(58, 2013)","(104, 2014)","(4, 2015)","(0, 2017)","(104, 2016)","(25, 2015)","(25, 2012)","(40, 2013)"
393,"(4, 2016)","(4, 2017)","(8, 2017)","(8, 2014)","(102, 2014)","(40, 2017)","(58, 2013)","(0, 2014)","(104, 2015)","(40, 2014)"
394,"(40, 2014)","(8, 2016)","(8, 2017)","(19, 2016)","(0, 2013)","(0, 2012)","(40, 2012)","(102, 2012)","(19, 2016)","(0, 2013)"
395,"(25, 2016)","(0, 2015)","(104, 2012)","(102, 2016)","(4, 2015)","(104, 2016)","(58, 2016)","(25, 2015)","(104, 2014)","(58, 2013)"
396,"(58, 2014)","(4, 2012)","(19, 2015)","(8, 2016)","(104, 2012)","(40, 2016)","(0, 2014)","(58, 2017)","(102, 2013)","(104, 2016)"
397,"(102, 2017)","(0, 2013)","(25, 2016)","(104, 2016)","(4, 2012)","(4, 2013)","(102, 2013)","(104, 2013)","(102, 2017)","(40, 2013)"
398,"(19, 2017)","(0, 2017)","(8, 2013)","(102, 2012)","(25, 2012)","(4, 2015)","(8, 2016)","(19, 2013)","(58, 2014)","(104, 2014)"
399,"(40, 2017)","(102, 2016)","(102, 2014)","(0, 2014)","(25, 2014)","(25, 2016)","(19, 2014)","(104, 2016)","(102, 2016)","(102, 2013)"
400,"(8, 2016)","(25, 2014)","(25, 2015)","(8, 2016)","(102, 2016)","(19, 2013)","(8, 2017)","(4, 2015)","(102, 2016)","(0, 2013)"
401,"(19, 2016)","(8, 2012)","(4, 2017)","(40, 2015)","(19, 2014)","(40, 2013)","(102, 2017)","(19, 2017)","(104, 2017)","(40, 2016)"
402,"(19, 2014)","(104, 2013)","(104, 2012)","(0, 2012)","(25, 2015)","(8, 2014)","(40, 2017)","(8, 2017)","(40, 2012)","(4, 2017)"
403,"(8, 2013)","(40, 2013)","(0, 2017)","(102, 2013)","(0, 2015)","(104, 2016)","(8, 2013)","(25, 2017)","(4, 2012)","(0, 2012)"
404,"(8, 2013)","(4, 2013)","(58, 2017)","(8, 2012)","(40, 2014)","(19, 2012)","(4, 2012)","(102, 2013)","(104, 2013)","(4, 2017)"
405,"(25, 2012)","(40, 2016)","(25, 2016)","(8, 2015)","(40, 2017)","(25, 2016)","(58, 2013)","(25, 2013)","(4, 2015)","(104, 2014)"
406,"(8, 2013)","(58, 2016)","(0, 2013)","(8, 2016)","(58, 2015)","(104, 2012)","(102, 2014)","(4, 2015)","(4, 2017)","(0, 2012)"
407,"(25, 2013)","(4, 2014)","(25, 2017)","(58, 2015)","(25, 2013)","(8, 2017)","(102, 2012)","(25, 2015)","(8, 2014)","(40, 2012)"
408,"(102, 2012)","(104, 2014)","(104, 2015)","(0, 2016)","(4, 2012)","(102, 2017)","(104, 2012)","(40, 2013)","(8, 2013)","(104, 2012)"
409,"(19, 2016)","(58, 2013)","(25, 2012)","(0, 2016)","(19, 2014)","(19, 2014)","(40, 2016)","(58, 2017)","(0, 2013)","(40, 2012)"
410,"(102, 2012)","(58, 2017)","(19, 2012)","(104, 2014)","(4, 2014)","(8, 2015)","(58, 2014)","(0, 2014)","(40, 2012)","(25, 2014)"
411,"(58, 2012)","(0, 2015)","(104, 2015)","(0, 2016)","(104, 2014)","(0, 2015)","(25, 2014)","(102, 2016)","(102, 2017)","(102, 2017)"
412,"(8, 2012)","(25, 2015)","(104, 2017)","(0, 2015)","(0, 2017)","(4, 2012)","(25, 2016)","(4, 2014)","(19, 2016)","(104, 2016)"
413,"(19, 2014)","(104, 2015)","(0, 2016)","(40, 2013)","(104, 2017)","(0, 2012)","(0, 2012)","(0, 2014)","(40, 2016)","(40, 2013)"
414,"(58, 2015)","(102, 2013)","(8, 2016)","(58, 2013)","(19, 2013)","(19, 2012)","(58, 2013)","(4, 2012)","(40, 2012)","(25, 2017)"
415,"(25, 2012)","(40, 2017)","(8, 2017)","(0, 2015)","(58, 2016)","(25, 2014)","(25, 2012)","(8, 2014)","(104, 2015)","(58, 2013)"
416,"(104, 2016)","(0, 2014)","(104, 2015)","(102, 2014)","(25, 2012)","(0, 2015)","(0, 2017)","(102, 2014)","(40, 2015)","(0, 2013)"
417,"(40, 2017)","(25, 2014)","(19, 2013)","(102, 2017)","(40, 2015)","(40, 2015)","(25, 2015)","(25, 2013)","(19, 2014)","(40, 2014)"
418,"(58, 2015)","(102, 2014)","(25, 2014)","(58, 2016)","(25, 2014)","(104, 2017)","(0, 2012)","(104, 2017)","(104, 2017)","(8, 2016)"
419,"(104, 2014)","(40, 2016)","(4, 2015)","(102, 2017)","(0, 2013)","(58, 2014)","(8, 2015)","(8, 2013)","(58, 2012)","(0, 2012)"
420,"(58, 2017)","(58, 2017)","(40, 2014)","(19, 2014)","(19, 2015)","(58, 2014)","(4, 2015)","(25, 2015)","(58, 2013)","(8, 2012)"
421,"(102, 2017)","(4, 2012)","(25, 2017)","(102, 2014)","(4, 2017)","(4, 2017)","(4, 2012)","(102, 2012)","(25, 2016)","(58, 2016)"
422,"(40, 2016)","(4, 2013)","(8, 2014)","(0, 2014)","(104, 2013)","(102, 2016)","(104, 2014)","(58, 2012)","(40, 2012)","(25, 2016)"
423,"(58, 2016)","(8, 2012)","(25, 2012)","(25, 2013)","(40, 2012)","(40, 2014)","(40, 2014)","(102, 2017)","(19, 2017)","(4, 2015)"
424,"(104, 2013)","(4, 2016)","(58, 2012)","(25, 2012)","(8, 2015)","(40, 2012)","(102, 2015)","(58, 2016)","(4, 2013)","(104, 2017)"
425,"(102, 2014)","(104, 2013)","(40, 2015)","(58, 2012)","(25, 2013)","(58, 2017)","(102, 2014)","(4, 2015)","(25, 2012)","(25, 2013)"
426,"(0, 2017)","(40, 2017)","(102, 2014)","(8, 2016)","(25, 2017)","(104, 2016)","(4, 2017)","(8, 2013)","(58, 2014)","(58, 2015)"
427,"(8, 2017)","(40, 2015)","(8, 2013)","(102, 2016)","(102, 2016)","(102, 2016)","(8, 2013)","(25, 2013)","(0, 2013)","(19, 2017)"
428,"(102, 2013)","(19, 2012)","(19, 2013)","(104, 2015)","(104, 2015)","(104, 2012)","(8, 2015)","(40, 2013)","(4, 2016)","(25, 2012)"
429,"(25, 2016)","(25, 2012)","(102, 2016)","(104, 2016)","(4, 2013)","(40, 2012)","(40, 2014)","(58, 2013)","(8, 2013)","(4, 2017)"
430,"(40, 2012)","(102, 2017)","(104, 2012)","(19, 2015)","(25, 2016)","(104, 2014)","(4, 2016)","(104, 2013)","(0, 2014)","(8, 2014)"
431,"(104, 2014)","(104, 2014)","(40, 2017)","(19, 2013)","(8, 2015)","(19, 2015)","(0, 2013)","(102, 2013)","(104, 2016)","(104, 2014)"
432,"(25, 2012)","(8, 2015)","(19, 2014)","(102, 2016)","(40, 2016)","(58, 2016)","(19, 2014)","(4, 2015)","(0, 2014)","(58, 2016)"
433,"(19, 2013)","(104, 2012)","(104, 2015)","(4, 2015)","(0, 2012)","(102, 2012)","(58, 2017)","(40, 2013)","(8, 2012)","(102, 2012)"
434,"(102, 2017)","(104, 2017)","(40, 2014)","(104, 2014)","(25, 2014)","(4, 2017)","(19, 2015)","(0, 2013)","(104, 2016)","(102, 2013)"
435,"(25, 2015)","(58, 2016)","(40, 2015)","(4, 2017)","(0, 2013)","(8, 2016)","(40, 2012)","(104, 2015)","(102, 2012)","(104, 2017)"
436,"(102, 2013)","(25, 2016)","(58, 2013)","(40, 2016)","(104, 2012)","(25, 2016)","(4, 2012)","(40, 2012)","(4, 2013)","(102, 2012)"
437,"(0, 2013)","(8, 2017)","(102, 2015)","(8, 2014)","(25, 2016)","(58, 2013)","(8, 2015)","(25, 2016)","(4, 2016)","(104, 2014)"
438,"(4, 2014)","(58, 2017)","(102, 2012)","(58, 2016)","(102, 2016)","(104, 2015)","(25, 2015)","(4, 2014)","(104, 2014)","(8, 2016)"
439,"(4, 2014)","(40, 2015)","(19, 2015)","(102, 2013)","(0, 2017)","(104, 2014)","(0, 2017)","(58, 2016)","(4, 2015)","(0, 2014)"
440,"(4, 2014)","(102, 2017)","(8, 2012)","(4, 2014)","(25, 2015)","(19, 2015)","(102, 2013)","(8, 2015)","(40, 2015)","(104, 2012)"
441,"(4, 2016)","(19, 2016)","(19, 2017)","(58, 2014)","(25, 2015)","(19, 2014)","(25, 2014)","(8, 2016)","(8, 2016)","(8, 2014)"
442,"(102, 2015)","(58, 2012)","(102, 2016)","(25, 2015)","(19, 2012)","(0, 2015)","(8, 2016)","(58, 2015)","(8, 2016)","(4, 2014)"
443,"(19, 2017)","(8, 2013)","(40, 2013)","(8, 2016)","(8, 2013)","(4, 2014)","(0, 2016)","(0, 2012)","(40, 2012)","(8, 2015)"
444,"(8, 2012)","(58, 2017)","(40, 2016)","(19, 2012)","(102, 2017)","(0, 2015)","(4, 2017)","(19, 2012)","(8, 2012)","(0, 2016)"
445,"(102, 2017)","(58, 2012)","(8, 2015)","(102, 2017)","(40, 2013)","(19, 2012)","(40, 2016)","(8, 2012)","(25, 2015)","(0, 2015)"
446,"(102, 2014)","(104, 2013)","(40, 2017)","(25, 2015)","(25, 2015)","(40, 2013)","(25, 2015)","(8, 2013)","(19, 2015)","(102, 2017)"
447,"(104, 2015)","(19, 2014)","(58, 2015)","(104, 2013)","(8, 2012)","(25, 2016)","(8, 2016)","(58, 2016)","(104, 2014)","(25, 2016)"
448,"(104, 2012)","(0, 2015)","(25, 2013)","(4, 2014)","(58, 2017)","(102, 2015)","(58, 2015)","(25, 2014)","(4, 2014)","(25, 2016)"
449,"(0, 2014)","(58, 2012)","(58, 2015)","(8, 2016)","(8, 2015)","(58, 2016)","(4, 2017)","(102, 2015)","(40, 2014)","(104, 2017)"
450,"(104, 2014)","(40, 2013)","(58, 2015)","(40, 2012)","(19, 2012)","(25, 2015)","(40, 2012)","(8, 2012)","(102, 2013)","(58, 2015)"
451,"(58, 2016)","(102, 2016)","(25, 2014)","(0, 2012)","(4, 2016)","(58, 2013)","(8, 2015)","(25, 2017)","(25, 2015)","(0, 2014)"
452,"(58, 2016)","(25, 2013)","(102, 2017)","(40, 2017)","(58, 2014)","(102, 2017)","(102, 2015)","(25, 2015)","(0, 2015)","(25, 2012)"
453,"(19, 2017)","(25, 2014)","(104, 2017)","(104, 2017)","(4, 2017)","(8, 2013)","(40, 2012)","(40, 2015)","(104, 2014)","(102, 2017)"
454,"(40, 2015)","(40, 2017)","(4, 2013)","(8, 2017)","(8, 2015)","(104, 2014)","(0, 2013)","(4, 2014)","(8, 2012)","(4, 2013)"
455,"(102, 2016)","(58, 2014)","(25, 2015)","(0, 2014)","(58, 2017)","(4, 2017)","(40, 2014)","(19, 2012)","(19, 2013)","(4, 2017)"
456,"(25, 2015)","(4, 2012)","(0, 2013)","(40, 2014)","(4, 2013)","(102, 2012)","(19, 2013)","(19, 2013)","(25, 2015)","(40, 2012)"
457,"(19, 2016)","(58, 2013)","(25, 2016)","(104, 2017)","(102, 2016)","(0, 2015)","(40, 2012)","(8, 2015)","(58, 2015)","(40, 2015)"
458,"(4, 2013)","(0, 2012)","(4, 2012)","(4, 2015)","(58, 2015)","(58, 2013)","(102, 2017)","(40, 2014)","(19, 2012)","(4, 2014)"
459,"(4, 2015)","(25, 2014)","(25, 2014)","(4, 2012)","(0, 2013)","(0, 2013)","(8, 2017)","(25, 2012)","(104, 2012)","(4, 2012)"
460,"(58, 2017)","(0, 2012)","(58, 2012)","(104, 2016)","(4, 2013)","(8, 2017)","(40, 2015)","(4, 2012)","(4, 2012)","(104, 2017)"
461,"(8, 2016)","(25, 2017)","(104, 2016)","(104, 2017)","(8, 2013)","(104, 2012)","(40, 2012)","(58, 2013)","(0, 2017)","(40, 2017)"
462,"(0, 2014)","(8, 2016)","(58, 2014)","(19, 2013)","(104, 2012)","(104, 2017)","(40, 2014)","(25, 2017)","(4, 2013)","(25, 2013)"
463,"(8, 2013)","(58, 2012)","(102, 2017)","(4, 2013)","(104, 2012)","(25, 2012)","(0, 2015)","(19, 2016)","(104, 2017)","(40, 2015)"
464,"(8, 2012)","(58, 2013)","(8, 2015)","(104, 2014)","(19, 2016)","(0, 2012)","(58, 2017)","(25, 2016)","(40, 2016)","(102, 2016)"
465,"(19, 2012)","(25, 2012)","(25, 2016)","(102, 2014)","(19, 2012)","(8, 2012)","(102, 2014)","(58, 2012)","(25, 2017)","(8, 2014)"
466,"(25, 2015)","(8, 2015)","(8, 2013)","(104, 2015)","(4, 2015)","(58, 2013)","(0, 2012)","(0, 2016)","(0, 2014)","(8, 2015)"
467,"(104, 2013)","(58, 2013)","(25, 2014)","(102, 2014)","(19, 2015)","(25, 2012)","(58, 2012)","(104, 2017)","(8, 2014)","(0, 2017)"
468,"(8, 2016)","(102, 2016)","(102, 2013)","(40, 2013)","(102, 2013)","(8, 2016)","(25, 2012)","(4, 2015)","(58, 2015)","(4, 2017)"
469,"(40, 2014)","(58, 2013)","(58, 2014)","(58, 2014)","(104, 2012)","(40, 2017)","(8, 2013)","(0, 2013)","(104, 2016)","(25, 2015)"
470,"(8, 2012)","(58, 2013)","(58, 2016)","(104, 2012)","(40, 2013)","(102, 2016)","(25, 2013)","(102, 2017)","(102, 2017)","(4, 2014)"
471,"(8, 2014)","(58, 2014)","(104, 2013)","(8, 2017)","(25, 2016)","(40, 2017)","(4, 2015)","(104, 2015)","(8, 2014)","(104, 2013)"
472,"(8, 2015)","(104, 2017)","(58, 2012)","(104, 2014)","(8, 2013)","(19, 2014)","(8, 2012)","(19, 2014)","(104, 2015)","(0, 2017)"
473,"(58, 2013)","(102, 2016)","(0, 2013)","(104, 2012)","(0, 2012)","(58, 2016)","(102, 2015)","(25, 2013)","(40, 2014)","(104, 2017)"
474,"(102, 2014)","(4, 2014)","(4, 2015)","(102, 2017)","(19, 2016)","(25, 2013)","(102, 2013)","(19, 2014)","(19, 2013)","(19, 2016)"
475,"(0, 2013)","(102, 2014)","(4, 2012)","(104, 2016)","(40, 2015)","(8, 2016)","(104, 2015)","(40, 2014)","(40, 2017)","(40, 2012)"
476,"(8, 2013)","(104, 2017)","(58, 2012)","(102, 2014)","(8, 2013)","(19, 2014)","(58, 2015)","(4, 2016)","(4, 2017)","(25, 2013)"
477,"(58, 2012)","(104, 2015)","(4, 2012)","(40, 2012)","(4, 2017)","(19, 2016)","(0, 2017)","(0, 2017)","(40, 2016)","(25, 2014)"
478,"(104, 2016)","(58, 2013)","(0, 2017)","(0, 2015)","(104, 2014)","(4, 2017)","(102, 2014)","(40, 2015)","(104, 2017)","(4, 2017)"
479,"(8, 2016)","(58, 2012)","(4, 2012)","(25, 2013)","(102, 2014)","(104, 2012)","(102, 2015)","(19, 2013)","(102, 2016)","(102, 2017)"
480,"(4, 2015)","(58, 2012)","(104, 2014)","(58, 2012)","(104, 2014)","(40, 2017)","(4, 2013)","(104, 2014)","(4, 2012)","(102, 2016)"
481,"(4, 2014)","(8, 2013)","(104, 2013)","(0, 2017)","(19, 2017)","(58, 2017)","(40, 2015)","(19, 2013)","(58, 2017)","(25, 2016)"
482,"(0, 2014)","(25, 2015)","(40, 2013)","(4, 2016)","(40, 2017)","(19, 2016)","(40, 2013)","(102, 2014)","(0, 2014)","(104, 2012)"
483,"(25, 2016)","(8, 2017)","(19, 2016)","(58, 2015)","(19, 2016)","(58, 2012)","(40, 2015)","(40, 2012)","(8, 2017)","(4, 2016)"
484,"(8, 2017)","(40, 2015)","(102, 2014)","(25, 2017)","(8, 2015)","(102, 2017)","(40, 2014)","(0, 2017)","(0, 2016)","(19, 2017)"
485,"(40, 2016)","(4, 2013)","(58, 2017)","(25, 2015)","(102, 2016)","(4, 2015)","(4, 2015)","(40, 2012)","(8, 2016)","(58, 2017)"
486,"(4, 2017)","(4, 2015)","(19, 2013)","(104, 2017)","(8, 2012)","(0, 2017)","(40, 2017)","(40, 2012)","(4, 2014)","(104, 2017)"
487,"(40, 2013)","(4, 2016)","(8, 2013)","(4, 2013)","(58, 2014)","(104, 2012)","(8, 2013)","(104, 2012)","(19, 2015)","(102, 2017)"
488,"(0, 2016)","(102, 2013)","(8, 2012)","(25, 2014)","(19, 2013)","(58, 2014)","(19, 2014)","(4, 2017)","(104, 2017)","(58, 2014)"
489,"(8, 2014)","(40, 2015)","(19, 2012)","(40, 2014)","(40, 2013)","(4, 2015)","(40, 2014)","(25, 2015)","(0, 2014)","(4, 2014)"
490,"(8, 2014)","(19, 2017)","(0, 2013)","(58, 2015)","(40, 2014)","(40, 2017)","(4, 2013)","(58, 2013)","(104, 2012)","(0, 2013)"
491,"(58, 2017)","(25, 2015)","(8, 2012)","(102, 2013)","(0, 2017)","(102, 2014)","(19, 2016)","(19, 2014)","(8, 2016)","(102, 2016)"
492,"(0, 2017)","(4, 2014)","(19, 2012)","(8, 2013)","(40, 2014)","(4, 2014)","(4, 2016)","(104, 2013)","(25, 2016)","(102, 2014)"
493,"(25, 2013)","(58, 2014)","(19, 2014)","(40, 2014)","(0, 2013)","(8, 2017)","(8, 2017)","(4, 2013)","(19, 2015)","(4, 2016)"
494,"(4, 2015)","(0, 2012)","(58, 2016)","(0, 2014)","(4, 2016)","(104, 2013)","(40, 2015)","(104, 2017)","(40, 2017)","(0, 2015)"
495,"(102, 2016)","(19, 2012)","(4, 2015)","(104, 2015)","(104, 2013)","(0, 2015)","(104, 2015)","(104, 2012)","(40, 2017)","(19, 2014)"
496,"(0, 2017)","(58, 2015)","(8, 2015)","(19, 2015)","(104, 2015)","(4, 2017)","(8, 2017)","(25, 2015)","(58, 2012)","(8, 2014)"
