Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,BM0,BM1,BM2,BM3,BM4,BM5
433,"(4, 2015, 82.7, 297.6)","(8, 2015, 70.3, 327.2)","(58, 2013, 87.6, 264.8)","(8, 2013, 129.4, 361.9)","(0, 2016, 126.5, 207.5)","(0, 2014, 112.8, 382.5)","(4, -1, 76.5, 256.4)","(8, -1, 73.4, 336.8)","(58, -1, 101.4, 293.5)","(8, -1, 145.7, 410.1)","(0, -1, 133.6, 203.9)","(0, -1, 130.0, 406.9)"
434,"(58, 2015, 113.0, 378.6)","(58, 2014, 134.0, 284.2)","(8, 2017, 94.7, 287.6)","(19, 2017, 111.2, 242.4)","(8, 2014, 136.6, 337.5)","(0, 2012, 90.4, 368.1)","(58, -1, 113.2, 356.3)","(58, -1, 122.9, 274.0)","(8, -1, 94.2, 305.1)","(19, -1, 106.5, 252.3)","(8, -1, 153.5, 299.9)","(0, -1, 91.2, 382.4)"
435,"(58, 2013, 118.2, 238.5)","(4, 2017, 129.8, 394.2)","(25, 2013, 105.3, 205.4)","(25, 2016, 74.7, 261.0)","(8, 2013, 85.9, 336.4)","(40, 2012, 103.3, 389.6)","(58, -1, 123.2, 248.6)","(4, -1, 130.7, 386.7)","(25, -1, 104.3, 212.8)","(25, -1, 70.6, 226.5)","(8, -1, 81.3, 292.0)","(40, -1, 98.1, 359.2)"
436,"(8, 2017, 106.8, 266.4)","(19, 2013, 118.5, 385.2)","(8, 2015, 101.5, 367.9)","(19, 2015, 88.3, 383.3)","(104, 2016, 163.7, 241.2)","(8, 2017, 127.5, 350.5)","(8, -1, 108.0, 253.5)","(19, -1, 105.1, 383.9)","(8, -1, 94.0, 411.8)","(19, -1, 96.2, 355.0)","(104, -1, 152.8, 258.0)","(8, -1, 133.3, 341.7)"
437,"(25, 2015, 117.3, 213.9)","(102, 2012, 116.9, 281.4)","(19, 2013, 87.7, 319.7)","(19, 2014, 55.0, 218.1)","(19, 2013, 94.9, 388.5)","(58, 2012, 100.1, 204.9)","(25, -1, 109.8, 216.7)","(102, -1, 113.3, 271.6)","(19, -1, 77.2, 347.8)","(19, -1, 52.2, 210.0)","(19, -1, 100.4, 371.5)","(58, -1, 109.8, 217.0)"
438,"(8, 2013, 99.9, 210.5)","(40, 2013, 126.5, 227.7)","(104, 2015, 63.4, 348.8)","(102, 2012, 110.8, 279.8)","(19, 2015, 84.4, 310.7)","(19, 2016, 131.0, 318.1)","(8, -1, 93.9, 226.0)","(40, -1, 126.7, 218.5)","(104, -1, 47.6, 340.3)","(102, -1, 87.6, 291.1)","(19, -1, 94.9, 297.3)","(19, -1, 105.2, 312.7)"
439,"(102, 2017, 104.3, 340.0)","(8, 2017, 149.7, 364.6)","(8, 2016, 102.8, 244.3)","(0, 2012, 130.2, 319.2)","(102, 2012, 88.6, 295.4)","(0, 2016, 123.1, 262.7)","(102, -1, 89.9, 310.9)","(8, -1, 152.4, 339.6)","(8, -1, 115.9, 238.4)","(0, -1, 121.8, 293.9)","(102, -1, 111.2, 306.0)","(0, -1, 106.6, 232.2)"
440,"(40, 2017, 133.1, 323.8)","(25, 2017, 76.2, 297.2)","(104, 2014, 83.0, 317.6)","(58, 2017, 108.4, 292.5)","(25, 2017, 81.1, 301.5)","(4, 2016, 90.3, 224.0)","(40, -1, 135.7, 317.3)","(25, -1, 89.4, 320.6)","(104, -1, 84.1, 296.9)","(58, -1, 106.1, 253.2)","(25, -1, 92.7, 291.0)","(4, -1, 79.8, 210.1)"
441,"(58, 2013, 84.3, 369.2)","(40, 2016, 67.3, 212.2)","(104, 2017, 99.0, 319.5)","(102, 2016, 103.6, 279.4)","(25, 2015, 80.3, 239.7)","(8, 2012, 97.5, 288.5)","(58, -1, 103.5, 403.9)","(40, -1, 72.2, 204.0)","(104, -1, 82.8, 329.0)","(102, -1, 85.4, 291.1)","(25, -1, 90.3, 243.6)","(8, -1, 90.6, 251.7)"
442,"(8, 2015, 63.7, 286.0)","(0, 2015, 76.3, 312.8)","(4, 2015, 78.3, 244.9)","(25, 2013, 92.4, 341.6)","(25, 2012, 84.9, 368.3)","(19, 2016, 105.6, 339.5)","(8, -1, 66.6, 285.4)","(0, -1, 84.0, 356.6)","(4, -1, 83.2, 256.2)","(25, -1, 90.0, 342.2)","(25, -1, 91.8, 342.1)","(19, -1, 116.1, 339.3)"
443,"(0, 2013, 74.0, 371.4)","(40, 2015, 119.3, 299.8)","(104, 2013, 88.0, 200.6)","(104, 2013, 145.9, 318.6)","(102, 2017, 97.3, 397.3)","(8, 2015, 111.4, 264.0)","(0, -1, 68.8, 344.2)","(40, -1, 148.9, 268.6)","(104, -1, 87.1, 202.3)","(104, -1, 167.2, 280.7)","(102, -1, 86.1, 383.8)","(8, -1, 136.8, 241.7)"
444,"(40, 2015, 102.5, 399.2)","(4, 2013, 88.5, 231.6)","(40, 2013, 78.6, 210.2)","(8, 2012, 80.6, 266.4)","(4, 2012, 117.7, 275.1)","(8, 2015, 100.5, 283.7)","(40, -1, 104.5, 361.2)","(4, -1, 70.5, 254.6)","(40, -1, 82.2, 200.0)","(8, -1, 77.0, 286.8)","(4, -1, 114.1, 258.7)","(8, -1, 106.8, 284.8)"
445,"(58, 2015, 97.4, 306.9)","(102, 2013, 94.1, 272.4)","(25, 2017, 93.7, 366.0)","(58, 2014, 75.9, 249.7)","(4, 2012, 112.3, 318.3)","(40, 2014, 153.3, 333.3)","(58, -1, 87.7, 311.1)","(102, -1, 95.8, 239.7)","(25, -1, 95.6, 330.9)","(58, -1, 86.5, 235.9)","(4, -1, 87.7, 337.6)","(40, -1, 99.2, 379.9)"
446,"(102, 2013, 124.6, 274.7)","(40, 2016, 54.8, 241.2)","(25, 2016, 101.1, 360.1)","(104, 2016, 112.9, 270.6)","(8, 2016, 99.2, 251.6)","(58, 2013, 132.5, 352.5)","(102, -1, 120.2, 287.1)","(40, -1, 55.7, 248.5)","(25, -1, 107.1, 358.8)","(104, -1, 120.8, 293.4)","(8, -1, 95.1, 239.3)","(58, -1, 133.9, 379.2)"
447,"(4, 2012, 94.9, 285.7)","(104, 2012, 79.2, 353.5)","(102, 2014, 143.3, 347.9)","(4, 2015, 104.8, 203.5)","(4, 2016, 95.6, 345.3)","(4, 2012, 72.9, 241.3)","(4, -1, 109.5, 280.3)","(104, -1, 69.5, 339.5)","(102, -1, 141.3, 341.6)","(4, -1, 100.9, 201.8)","(4, -1, 85.6, 374.7)","(4, -1, 72.1, 228.3)"
448,"(102, 2013, 124.3, 329.7)","(104, 2015, 135.8, 264.0)","(19, 2014, 93.9, 305.7)","(40, 2014, 84.4, 309.1)","(4, 2012, 90.1, 368.8)","(4, 2013, 66.0, 287.9)","(102, -1, 101.6, 343.3)","(104, -1, 145.2, 244.7)","(19, -1, 94.3, 285.6)","(40, -1, 101.5, 267.0)","(4, -1, 106.7, 349.9)","(4, -1, 62.5, 290.0)"
449,"(0, 2013, 133.1, 201.9)","(102, 2017, 100.1, 348.5)","(58, 2012, 100.0, 317.6)","(8, 2012, 138.3, 356.3)","(58, 2012, 80.7, 275.9)","(25, 2012, 90.0, 370.9)","(0, -1, 157.1, 209.9)","(102, -1, 90.2, 376.2)","(58, -1, 92.1, 317.8)","(8, -1, 125.0, 395.3)","(58, -1, 93.3, 249.0)","(25, -1, 90.0, 423.8)"
450,"(4, 2013, 97.1, 393.9)","(0, 2013, 125.3, 229.0)","(25, 2012, 137.8, 388.4)","(25, 2013, 122.9, 291.0)","(102, 2014, 118.2, 352.2)","(0, 2017, 113.8, 202.6)","(4, -1, 112.6, 371.3)","(0, -1, 123.5, 228.8)","(25, -1, 154.6, 412.8)","(25, -1, 128.3, 276.4)","(102, -1, 118.6, 376.8)","(0, -1, 122.1, 217.3)"
451,"(0, 2013, 29.9, 351.4)","(102, 2013, 90.1, 262.2)","(0, 2017, 82.2, 342.5)","(58, 2015, 132.5, 231.4)","(25, 2013, 86.2, 361.0)","(58, 2012, 151.8, 244.1)","(0, -1, 28.2, 350.4)","(102, -1, 88.4, 253.3)","(0, -1, 81.5, 345.3)","(58, -1, 138.5, 229.8)","(25, -1, 98.8, 379.1)","(58, -1, 148.0, 276.3)"
452,"(102, 2017, 90.9, 294.5)","(58, 2012, 77.6, 207.1)","(58, 2012, 136.1, 336.1)","(58, 2016, 104.3, 219.1)","(0, 2013, 107.1, 339.9)","(102, 2017, 127.3, 282.8)","(102, -1, 95.1, 312.5)","(58, -1, 88.8, 197.4)","(58, -1, 98.8, 272.2)","(58, -1, 108.3, 208.9)","(0, -1, 85.5, 341.0)","(102, -1, 148.8, 294.3)"
453,"(40, 2015, 95.0, 291.7)","(8, 2012, 83.0, 238.8)","(8, 2012, 120.1, 334.6)","(25, 2017, 91.4, 215.3)","(0, 2016, 88.2, 391.4)","(25, 2014, 82.7, 316.5)","(40, -1, 102.1, 277.0)","(8, -1, 91.4, 236.6)","(8, -1, 117.1, 326.3)","(25, -1, 98.3, 212.6)","(0, -1, 93.3, 434.1)","(25, -1, 92.9, 330.9)"
454,"(102, 2016, 98.8, 232.6)","(19, 2012, 84.5, 326.7)","(104, 2017, 121.7, 297.1)","(58, 2012, 96.3, 348.2)","(58, 2013, 108.2, 322.6)","(40, 2014, 65.9, 211.1)","(102, -1, 107.7, 246.5)","(19, -1, 95.5, 330.1)","(104, -1, 113.7, 264.1)","(58, -1, 110.4, 397.8)","(58, -1, 116.7, 298.7)","(40, -1, 68.4, 191.9)"
455,"(8, 2012, 120.2, 376.8)","(58, 2015, 116.5, 392.0)","(58, 2017, 119.5, 342.7)","(40, 2012, 137.7, 200.8)","(0, 2017, 109.5, 277.3)","(8, 2016, 116.3, 342.4)","(8, -1, 127.6, 398.3)","(58, -1, 120.3, 369.4)","(58, -1, 115.1, 332.0)","(40, -1, 137.3, 194.7)","(0, -1, 106.9, 272.3)","(8, -1, 107.6, 328.4)"
456,"(4, 2017, 108.8, 387.8)","(58, 2016, 87.9, 339.0)","(4, 2017, 96.6, 271.9)","(25, 2013, 96.6, 257.4)","(8, 2012, 125.1, 209.8)","(4, 2012, 78.6, 329.4)","(4, -1, 115.6, 416.8)","(58, -1, 107.1, 292.7)","(4, -1, 107.4, 281.6)","(25, -1, 115.9, 287.6)","(8, -1, 105.4, 224.2)","(4, -1, 78.5, 333.7)"
457,"(40, 2013, 55.1, 274.7)","(8, 2017, 124.6, 328.6)","(4, 2017, 120.1, 390.3)","(40, 2012, 88.3, 268.9)","(8, 2014, 64.6, 269.3)","(58, 2013, 72.0, 228.9)","(40, -1, 50.6, 285.9)","(8, -1, 136.4, 324.6)","(4, -1, 107.2, 364.3)","(40, -1, 97.0, 277.9)","(8, -1, 74.1, 281.9)","(58, -1, 72.8, 259.0)"
458,"(58, 2013, 122.2, 212.5)","(8, 2017, 101.9, 267.5)","(0, 2014, 130.6, 370.1)","(25, 2015, 83.4, 383.6)","(40, 2012, 91.5, 277.0)","(102, 2012, 87.4, 363.3)","(58, -1, 126.8, 204.6)","(8, -1, 96.8, 241.0)","(0, -1, 139.5, 298.7)","(25, -1, 86.1, 388.6)","(40, -1, 93.7, 252.9)","(102, -1, 80.4, 388.7)"
459,"(19, 2015, 108.2, 395.8)","(58, 2017, 128.6, 362.4)","(40, 2016, 118.7, 397.6)","(40, 2013, 144.8, 205.4)","(8, 2013, 98.2, 217.5)","(0, 2017, 131.2, 335.4)","(19, -1, 110.7, 399.3)","(58, -1, 120.1, 390.1)","(40, -1, 141.0, 428.1)","(40, -1, 134.3, 196.4)","(8, -1, 103.3, 232.6)","(0, -1, 136.1, 367.4)"
460,"(40, 2016, 101.8, 290.8)","(4, 2014, 53.8, 293.6)","(19, 2016, 149.1, 300.2)","(0, 2014, 94.0, 397.2)","(102, 2013, 96.1, 300.2)","(4, 2012, 113.1, 390.1)","(40, -1, 109.6, 309.4)","(4, -1, 57.7, 284.0)","(19, -1, 124.6, 272.9)","(0, -1, 81.3, 405.1)","(102, -1, 87.0, 291.3)","(4, -1, 121.3, 387.7)"
461,"(19, 2017, 52.2, 211.9)","(58, 2014, 123.4, 377.9)","(40, 2017, 121.1, 272.9)","(58, 2013, 103.0, 354.4)","(58, 2013, 112.6, 269.2)","(4, 2014, 95.0, 319.6)","(19, -1, 50.9, 218.5)","(58, -1, 119.3, 331.7)","(40, -1, 119.8, 233.9)","(58, -1, 86.9, 329.3)","(58, -1, 112.0, 289.1)","(4, -1, 106.7, 240.9)"
462,"(40, 2015, 119.1, 219.5)","(25, 2014, 122.7, 223.7)","(102, 2013, 104.9, 228.9)","(58, 2012, 134.3, 332.6)","(19, 2016, 75.3, 322.9)","(8, 2015, 75.3, 223.8)","(40, -1, 95.5, 226.7)","(25, -1, 107.0, 232.9)","(102, -1, 116.4, 225.4)","(58, -1, 133.2, 348.8)","(19, -1, 74.4, 331.1)","(8, -1, 84.5, 232.6)"
463,"(19, 2013, 38.1, 317.7)","(58, 2012, 119.3, 274.7)","(40, 2015, 97.8, 320.9)","(102, 2012, 78.6, 347.3)","(102, 2017, 116.0, 367.8)","(58, 2013, 93.8, 260.9)","(19, -1, 41.2, 360.0)","(58, -1, 133.3, 285.5)","(40, -1, 93.0, 343.2)","(102, -1, 94.8, 341.6)","(102, -1, 103.7, 378.1)","(58, -1, 98.5, 237.4)"
464,"(58, 2012, 105.8, 296.7)","(40, 2017, 121.8, 281.0)","(104, 2013, 116.8, 397.3)","(40, 2012, 140.7, 313.2)","(19, 2012, 118.8, 217.9)","(102, 2015, 80.3, 354.2)","(58, -1, 107.8, 303.2)","(40, -1, 119.8, 306.3)","(104, -1, 120.3, 418.9)","(40, -1, 116.4, 302.4)","(19, -1, 103.6, 203.3)","(102, -1, 75.9, 352.4)"
465,"(8, 2016, 79.8, 338.5)","(102, 2017, 65.7, 251.8)","(8, 2015, 89.9, 242.6)","(40, 2014, 125.7, 350.0)","(0, 2014, 62.0, 382.5)","(8, 2013, 87.9, 333.7)","(8, -1, 74.4, 333.4)","(102, -1, 68.9, 300.3)","(8, -1, 101.6, 246.8)","(40, -1, 125.0, 389.5)","(0, -1, 68.7, 385.3)","(8, -1, 89.8, 344.2)"
466,"(104, 2012, 115.4, 361.5)","(4, 2015, 120.5, 334.1)","(104, 2012, 103.2, 388.6)","(8, 2017, 114.4, 234.9)","(104, 2016, 152.7, 254.6)","(58, 2017, 122.4, 244.9)","(104, -1, 105.4, 357.0)","(4, -1, 120.5, 324.3)","(104, -1, 99.1, 390.0)","(8, -1, 124.4, 250.7)","(104, -1, 168.7, 243.1)","(58, -1, 137.2, 240.6)"
467,"(104, 2012, 80.3, 397.9)","(19, 2013, 65.1, 376.2)","(58, 2015, 108.2, 347.5)","(25, 2014, 119.9, 282.4)","(0, 2016, 89.6, 261.0)","(58, 2012, 117.8, 329.3)","(104, -1, 89.0, 409.7)","(19, -1, 65.7, 334.2)","(58, -1, 112.2, 357.9)","(25, -1, 127.4, 277.6)","(0, -1, 83.1, 301.6)","(58, -1, 116.7, 316.2)"
468,"(58, 2017, 99.0, 393.1)","(19, 2016, 57.4, 354.2)","(25, 2016, 114.6, 277.3)","(104, 2016, 74.8, 322.8)","(58, 2017, 118.1, 207.4)","(0, 2016, 123.7, 352.8)","(58, -1, 124.7, 402.7)","(19, -1, 53.7, 282.9)","(25, -1, 113.6, 312.8)","(104, -1, 66.1, 318.4)","(58, -1, 108.9, 186.5)","(0, -1, 121.4, 347.8)"
469,"(0, 2015, 112.7, 228.2)","(19, 2016, 141.1, 257.0)","(40, 2016, 112.8, 323.8)","(102, 2015, 108.2, 283.6)","(0, 2013, 112.9, 343.6)","(104, 2014, 104.0, 247.2)","(0, -1, 117.9, 246.6)","(19, -1, 139.5, 263.8)","(40, -1, 100.9, 328.9)","(102, -1, 104.2, 295.5)","(0, -1, 102.4, 368.7)","(104, -1, 118.7, 219.9)"
470,"(0, 2014, 147.9, 219.7)","(4, 2016, 117.1, 291.2)","(25, 2016, 166.8, 244.7)","(0, 2014, 68.5, 236.4)","(8, 2012, 101.6, 379.2)","(25, 2012, 84.7, 331.1)","(0, -1, 153.3, 218.5)","(4, -1, 115.0, 259.1)","(25, -1, 153.0, 274.8)","(0, -1, 65.4, 210.0)","(8, -1, 96.2, 380.7)","(25, -1, 86.3, 287.0)"
471,"(104, 2016, 117.7, 356.4)","(8, 2014, 96.3, 389.5)","(8, 2012, 108.0, 200.4)","(102, 2012, 91.4, 241.8)","(58, 2014, 108.6, 384.1)","(19, 2012, 88.3, 280.0)","(104, -1, 115.7, 381.3)","(8, -1, 85.7, 441.6)","(8, -1, 126.6, 204.6)","(102, -1, 82.3, 244.3)","(58, -1, 108.7, 375.3)","(19, -1, 90.2, 275.6)"
472,"(8, 2017, 107.3, 388.2)","(58, 2014, 111.6, 336.9)","(40, 2015, 103.1, 333.8)","(25, 2016, 114.0, 278.0)","(19, 2014, 117.0, 281.7)","(19, 2013, 89.9, 334.2)","(8, -1, 101.6, 403.4)","(58, -1, 97.7, 322.7)","(40, -1, 98.7, 297.7)","(25, -1, 104.8, 257.0)","(19, -1, 135.4, 290.6)","(19, -1, 97.0, 359.9)"
473,"(102, 2017, 116.7, 354.1)","(25, 2014, 112.3, 227.9)","(25, 2015, 130.5, 376.6)","(40, 2017, 102.6, 344.6)","(25, 2013, 117.4, 373.4)","(4, 2012, 83.3, 280.2)","(102, -1, 96.6, 290.0)","(25, -1, 118.8, 248.9)","(25, -1, 131.9, 434.5)","(40, -1, 97.1, 334.8)","(25, -1, 92.0, 413.5)","(4, -1, 87.1, 246.0)"
474,"(4, 2013, 67.7, 227.4)","(102, 2013, 104.9, 272.0)","(0, 2017, 104.9, 225.6)","(0, 2012, 83.1, 300.8)","(40, 2013, 50.1, 210.9)","(102, 2012, 160.1, 354.5)","(4, -1, 63.9, 220.0)","(102, -1, 96.3, 264.6)","(0, -1, 101.3, 211.8)","(0, -1, 83.6, 304.0)","(40, -1, 42.5, 209.5)","(102, -1, 178.9, 325.7)"
475,"(0, 2013, 115.5, 272.2)","(40, 2012, 109.4, 242.3)","(8, 2014, 138.8, 348.2)","(0, 2015, 63.4, 205.1)","(102, 2015, 109.1, 212.7)","(40, 2013, 99.6, 310.6)","(0, -1, 112.7, 262.0)","(40, -1, 99.7, 227.2)","(8, -1, 141.6, 339.5)","(0, -1, 63.8, 159.7)","(102, -1, 84.2, 191.0)","(40, -1, 82.4, 309.1)"
476,"(0, 2015, 130.0, 212.4)","(19, 2015, 89.6, 306.5)","(40, 2013, 57.6, 393.3)","(19, 2012, 120.5, 277.4)","(8, 2016, 55.7, 340.6)","(8, 2014, 73.5, 263.8)","(0, -1, 125.2, 236.8)","(19, -1, 75.5, 321.7)","(40, -1, 52.3, 351.6)","(19, -1, 98.5, 300.1)","(8, -1, 50.7, 345.6)","(8, -1, 75.6, 272.9)"
477,"(0, 2015, 118.2, 369.5)","(104, 2013, 129.0, 397.3)","(19, 2012, 107.0, 359.4)","(58, 2017, 90.1, 321.9)","(25, 2013, 50.4, 397.3)","(19, 2016, 88.9, 378.0)","(0, -1, 140.9, 333.4)","(104, -1, 127.0, 430.6)","(19, -1, 101.3, 330.6)","(58, -1, 75.4, 284.4)","(25, -1, 50.5, 390.6)","(19, -1, 80.8, 394.1)"
478,"(25, 2015, 76.5, 363.1)","(4, 2017, 92.0, 345.9)","(0, 2016, 76.9, 213.0)","(4, 2012, 86.8, 385.4)","(4, 2014, 141.6, 209.8)","(102, 2015, 36.8, 383.9)","(25, -1, 75.2, 313.9)","(4, -1, 88.0, 352.6)","(0, -1, 72.2, 230.7)","(4, -1, 79.8, 327.9)","(4, -1, 160.1, 189.3)","(102, -1, 32.3, 411.2)"
479,"(8, 2012, 43.3, 296.7)","(102, 2013, 113.0, 392.8)","(0, 2013, 90.5, 212.3)","(4, 2014, 73.2, 290.0)","(104, 2014, 67.5, 375.0)","(0, 2015, 104.5, 271.5)","(8, -1, 43.1, 294.4)","(102, -1, 105.4, 388.8)","(0, -1, 83.8, 224.8)","(4, -1, 83.5, 283.2)","(104, -1, 75.0, 326.9)","(0, -1, 92.1, 267.4)"
480,"(19, 2012, 106.7, 388.5)","(40, 2012, 119.3, 205.7)","(4, 2017, 133.0, 274.3)","(8, 2014, 89.4, 206.3)","(4, 2017, 102.3, 340.8)","(25, 2016, 97.5, 280.1)","(19, -1, 109.2, 380.6)","(40, -1, 116.6, 229.5)","(4, -1, 136.3, 248.2)","(8, -1, 90.4, 232.5)","(4, -1, 104.7, 346.4)","(25, -1, 92.4, 326.4)"
481,"(102, 2017, 98.7, 216.7)","(104, 2014, 93.9, 291.6)","(25, 2014, 69.1, 317.9)","(25, 2017, 105.5, 361.0)","(58, 2017, 106.2, 270.3)","(40, 2013, 102.3, 364.4)","(102, -1, 77.5, 241.1)","(104, -1, 91.6, 303.6)","(25, -1, 60.5, 349.9)","(25, -1, 110.4, 400.4)","(58, -1, 98.2, 231.1)","(40, -1, 108.1, 367.7)"
482,"(4, 2014, 123.4, 359.4)","(0, 2016, 116.6, 373.1)","(4, 2013, 55.0, 331.8)","(0, 2013, 75.6, 253.6)","(19, 2016, 125.2, 396.8)","(40, 2016, 89.0, 389.8)","(4, -1, 139.9, 334.0)","(0, -1, 125.1, 361.9)","(4, -1, 64.9, 350.6)","(0, -1, 77.8, 253.0)","(19, -1, 134.2, 411.6)","(40, -1, 97.4, 404.4)"
483,"(40, 2013, 106.6, 218.5)","(58, 2013, 92.7, 304.1)","(8, 2013, 131.0, 213.3)","(40, 2016, 103.8, 339.6)","(102, 2012, 102.3, 333.1)","(40, 2015, 62.6, 203.4)","(40, -1, 100.1, 228.5)","(58, -1, 97.4, 309.2)","(8, -1, 152.9, 258.8)","(40, -1, 122.0, 330.7)","(102, -1, 114.7, 342.8)","(40, -1, 68.2, 183.4)"
484,"(104, 2015, 58.9, 367.4)","(4, 2017, 90.2, 239.9)","(40, 2017, 123.5, 211.6)","(104, 2014, 80.6, 248.0)","(4, 2016, 135.8, 366.0)","(25, 2013, 85.1, 262.2)","(104, -1, 53.7, 326.2)","(4, -1, 77.9, 267.7)","(40, -1, 120.9, 218.5)","(104, -1, 75.7, 243.0)","(4, -1, 133.5, 346.9)","(25, -1, 86.5, 261.6)"
485,"(0, 2012, 110.4, 382.1)","(8, 2014, 87.6, 268.3)","(0, 2017, 111.4, 322.6)","(102, 2014, 134.9, 347.1)","(19, 2013, 124.0, 394.2)","(104, 2016, 141.7, 367.4)","(0, -1, 108.8, 380.1)","(8, -1, 90.7, 294.1)","(0, -1, 100.0, 314.2)","(102, -1, 136.2, 356.7)","(19, -1, 121.6, 336.3)","(104, -1, 152.4, 324.6)"
486,"(102, 2015, 81.9, 367.3)","(102, 2012, 71.6, 238.0)","(104, 2013, 69.2, 214.4)","(4, 2012, 94.3, 282.8)","(104, 2016, 67.9, 304.0)","(0, 2016, 76.7, 260.2)","(102, -1, 82.6, 375.6)","(102, -1, 68.3, 220.1)","(104, -1, 65.8, 215.6)","(4, -1, 104.2, 283.3)","(104, -1, 53.3, 345.1)","(0, -1, 79.9, 241.8)"
487,"(102, 2014, 81.0, 310.4)","(102, 2013, 180.5, 314.7)","(58, 2014, 105.5, 277.5)","(40, 2014, 98.4, 320.0)","(104, 2012, 84.3, 281.2)","(40, 2017, 73.2, 256.8)","(102, -1, 82.9, 305.7)","(102, -1, 196.1, 365.7)","(58, -1, 104.6, 257.1)","(40, -1, 85.0, 295.4)","(104, -1, 87.3, 288.0)","(40, -1, 78.2, 255.5)"
488,"(25, 2013, 100.0, 252.6)","(0, 2013, 74.6, 248.4)","(4, 2016, 60.6, 209.8)","(104, 2015, 59.1, 240.4)","(0, 2013, 142.6, 344.5)","(19, 2014, 83.5, 395.1)","(25, -1, 96.9, 242.4)","(0, -1, 76.0, 238.9)","(4, -1, 63.1, 243.1)","(104, -1, 62.5, 231.9)","(0, -1, 150.7, 368.6)","(19, -1, 97.0, 367.8)"
489,"(102, 2013, 58.5, 374.1)","(19, 2015, 91.7, 265.1)","(102, 2012, 116.9, 380.8)","(40, 2017, 99.7, 342.9)","(19, 2016, 71.7, 304.9)","(104, 2016, 97.7, 277.4)","(102, -1, 57.6, 330.5)","(19, -1, 90.7, 248.7)","(102, -1, 103.4, 372.9)","(40, -1, 105.8, 353.1)","(19, -1, 66.6, 247.4)","(104, -1, 80.8, 266.6)"
490,"(19, 2017, 85.3, 211.4)","(4, 2013, 125.7, 358.5)","(19, 2012, 136.6, 389.5)","(19, 2013, 106.1, 313.1)","(0, 2016, 53.6, 334.2)","(102, 2012, 94.8, 222.4)","(19, -1, 92.1, 239.1)","(4, -1, 116.6, 317.6)","(19, -1, 138.9, 468.9)","(19, -1, 97.2, 303.8)","(0, -1, 60.3, 313.1)","(102, -1, 86.2, 262.9)"
491,"(8, 2013, 102.3, 282.9)","(0, 2016, 86.4, 294.7)","(58, 2013, 87.5, 231.8)","(58, 2017, 109.6, 336.0)","(102, 2017, 114.7, 381.7)","(102, 2014, 129.0, 301.3)","(8, -1, 86.8, 289.2)","(0, -1, 85.1, 263.8)","(58, -1, 84.5, 248.0)","(58, -1, 107.9, 319.4)","(102, -1, 112.6, 401.9)","(102, -1, 122.0, 311.7)"
492,"(4, 2015, 81.3, 372.9)","(8, 2014, 93.9, 325.4)","(104, 2012, 96.7, 289.6)","(40, 2014, 106.7, 299.0)","(4, 2016, 113.1, 345.7)","(102, 2017, 102.8, 207.6)","(4, -1, 92.7, 406.6)","(8, -1, 103.7, 314.2)","(104, -1, 94.3, 306.9)","(40, -1, 138.1, 332.2)","(4, -1, 101.0, 356.1)","(102, -1, 89.5, 201.3)"
493,"(19, 2016, 86.7, 267.2)","(4, 2017, 121.0, 335.0)","(58, 2017, 126.2, 337.8)","(104, 2017, 140.4, 243.8)","(8, 2017, 123.3, 239.4)","(102, 2017, 43.2, 365.6)","(19, -1, 90.7, 304.1)","(4, -1, 133.5, 331.0)","(58, -1, 123.7, 340.3)","(104, -1, 146.1, 252.3)","(8, -1, 133.4, 223.2)","(102, -1, 40.4, 341.2)"
494,"(104, 2013, 81.5, 318.9)","(58, 2014, 101.2, 280.2)","(104, 2012, 104.6, 222.2)","(40, 2015, 67.4, 297.7)","(0, 2014, 82.3, 345.6)","(0, 2012, 95.5, 260.4)","(104, -1, 91.6, 329.2)","(58, -1, 104.2, 308.2)","(104, -1, 116.8, 254.3)","(40, -1, 63.1, 282.3)","(0, -1, 74.1, 354.2)","(0, -1, 106.0, 255.7)"
495,"(25, 2014, 112.6, 368.9)","(58, 2014, 84.3, 231.4)","(0, 2013, 99.3, 232.1)","(25, 2017, 82.1, 214.8)","(8, 2016, 112.2, 363.2)","(8, 2017, 97.9, 256.8)","(25, -1, 128.3, 399.1)","(58, -1, 82.5, 251.2)","(0, -1, 99.3, 206.1)","(25, -1, 82.5, 221.6)","(8, -1, 115.6, 352.4)","(8, -1, 103.0, 268.5)"
496,"(25, 2015, 144.3, 345.0)","(102, 2015, 88.9, 294.4)","(4, 2014, 72.9, 352.4)","(58, 2013, 87.2, 306.9)","(25, 2014, 88.8, 212.9)","(58, 2014, 147.3, 277.7)","(25, -1, 144.2, 349.7)","(102, -1, 88.1, 293.8)","(4, -1, 75.0, 333.6)","(58, -1, 98.7, 324.8)","(25, -1, 93.1, 207.5)","(58, -1, 134.1, 276.0)"
497,"(104, 2012, 133.4, 287.1)","(58, 2013, 107.6, 259.4)","(8, 2012, 97.2, 302.8)","(102, 2014, 44.7, 223.1)","(25, 2015, 80.9, 264.8)","(0, 2014, 100.3, 386.8)","(104, -1, 123.8, 295.4)","(58, -1, 105.9, 259.8)","(8, -1, 101.9, 320.6)","(102, -1, 39.8, 241.6)","(25, -1, 81.6, 263.8)","(0, -1, 106.0, 354.4)"
