Scenario no.,SB0,SB1,SB2,SB3,SB4,BM0,BM1,BM2,BM3,BM4
454,"(40, 2014, 98.0, 282.6)","(40, 2014, 51.6, 247.3)","(4, 2016, 125.7, 237.1)","(104, 2013, 98.3, 310.7)","(102, 2012, 113.2, 368.5)","(40, -1, 93.4, 273.2)","(40, -1, 54.8, 256.4)","(4, -1, 136.8, 221.9)","(104, -1, 102.5, 306.6)","(102, -1, 130.9, 398.9)"
455,"(102, 2016, 96.4, 344.0)","(4, 2013, 129.9, 289.1)","(0, 2017, 107.8, 207.1)","(25, 2015, 87.0, 250.6)","(58, 2012, 102.3, 230.0)","(102, -1, 88.7, 320.6)","(4, -1, 150.2, 239.1)","(0, -1, 82.4, 198.9)","(25, -1, 102.4, 239.8)","(58, -1, 105.1, 228.5)"
456,"(0, 2014, 88.5, 319.1)","(19, 2013, 94.5, 323.2)","(19, 2015, 83.3, 329.3)","(25, 2013, 82.2, 384.3)","(4, 2015, 121.6, 387.0)","(0, -1, 88.3, 319.6)","(19, -1, 97.1, 327.3)","(19, -1, 91.6, 308.4)","(25, -1, 61.2, 392.5)","(4, -1, 128.5, 380.8)"
457,"(0, 2013, 51.7, 360.7)","(25, 2014, 81.6, 233.8)","(58, 2016, 100.7, 290.8)","(104, 2015, 79.9, 258.5)","(8, 2012, 78.2, 227.3)","(0, -1, 50.2, 379.5)","(25, -1, 88.1, 221.3)","(58, -1, 87.3, 281.6)","(104, -1, 82.5, 251.4)","(8, -1, 75.1, 208.0)"
458,"(4, 2012, 109.7, 245.2)","(8, 2013, 103.5, 304.8)","(4, 2016, 120.7, 361.5)","(0, 2015, 128.2, 371.9)","(4, 2016, 77.5, 348.9)","(4, -1, 125.5, 243.3)","(8, -1, 83.4, 312.1)","(4, -1, 119.4, 373.1)","(0, -1, 104.6, 332.1)","(4, -1, 75.6, 296.6)"
459,"(58, 2013, 89.3, 241.4)","(25, 2015, 89.2, 289.3)","(25, 2012, 115.7, 317.4)","(40, 2012, 119.1, 206.3)","(19, 2015, 60.8, 399.3)","(58, -1, 84.4, 239.6)","(25, -1, 78.4, 287.0)","(25, -1, 121.8, 342.6)","(40, -1, 101.0, 196.3)","(19, -1, 67.2, 444.3)"
460,"(58, 2015, 111.1, 244.5)","(0, 2015, 130.7, 276.2)","(8, 2012, 47.9, 313.0)","(0, 2015, 98.1, 212.8)","(102, 2015, 87.1, 230.4)","(58, -1, 106.5, 231.0)","(0, -1, 152.2, 231.1)","(8, -1, 46.9, 283.3)","(0, -1, 94.6, 202.5)","(102, -1, 103.4, 241.0)"
461,"(102, 2016, 96.2, 323.5)","(4, 2013, 81.5, 239.3)","(25, 2016, 135.6, 211.3)","(104, 2013, 138.0, 297.6)","(0, 2013, 56.7, 382.0)","(102, -1, 94.6, 303.4)","(4, -1, 93.6, 243.9)","(25, -1, 150.5, 200.8)","(104, -1, 138.0, 303.7)","(0, -1, 57.2, 340.0)"
462,"(19, 2017, 115.2, 232.1)","(25, 2013, 39.4, 202.3)","(58, 2012, 120.5, 247.7)","(4, 2012, 73.6, 210.6)","(19, 2015, 105.9, 217.7)","(19, -1, 126.4, 300.9)","(25, -1, 46.2, 204.4)","(58, -1, 107.4, 246.8)","(4, -1, 70.1, 184.2)","(19, -1, 100.7, 224.8)"
463,"(19, 2016, 8.9, 243.8)","(8, 2016, 121.9, 279.2)","(25, 2015, 79.0, 220.3)","(25, 2016, 121.2, 326.2)","(25, 2015, 109.3, 339.0)","(19, -1, 9.4, 197.9)","(8, -1, 111.7, 302.4)","(25, -1, 82.2, 233.8)","(25, -1, 126.6, 296.0)","(25, -1, 106.5, 342.1)"
464,"(40, 2014, 106.4, 232.2)","(104, 2016, 104.2, 354.7)","(19, 2012, 102.5, 366.3)","(58, 2014, 78.7, 258.4)","(40, 2015, 83.1, 298.1)","(40, -1, 95.2, 241.9)","(104, -1, 94.8, 348.3)","(19, -1, 103.8, 402.2)","(58, -1, 80.9, 241.0)","(40, -1, 79.4, 276.3)"
465,"(19, 2012, 123.2, 281.0)","(19, 2016, 156.0, 288.0)","(102, 2013, 100.4, 236.7)","(0, 2015, 117.1, 272.5)","(102, 2016, 107.5, 236.3)","(19, -1, 119.8, 242.5)","(19, -1, 178.0, 289.2)","(102, -1, 105.7, 237.3)","(0, -1, 103.5, 262.3)","(102, -1, 123.0, 250.5)"
466,"(25, 2016, 76.5, 203.0)","(0, 2015, 114.6, 326.4)","(40, 2015, 103.3, 384.2)","(19, 2015, 86.9, 237.4)","(58, 2016, 119.6, 370.7)","(25, -1, 79.2, 222.2)","(0, -1, 113.2, 324.5)","(40, -1, 121.1, 405.3)","(19, -1, 87.4, 240.6)","(58, -1, 111.8, 402.1)"
467,"(102, 2014, 105.7, 230.4)","(0, 2017, 110.5, 344.8)","(19, 2013, 90.0, 244.5)","(8, 2016, 142.9, 313.1)","(0, 2015, 118.1, 273.5)","(102, -1, 110.1, 227.2)","(0, -1, 125.9, 390.5)","(19, -1, 82.2, 246.9)","(8, -1, 144.0, 295.2)","(0, -1, 115.2, 302.3)"
468,"(102, 2014, 112.5, 357.3)","(0, 2013, 70.9, 320.1)","(102, 2014, 137.9, 336.1)","(8, 2015, 128.1, 368.1)","(0, 2013, 62.0, 270.8)","(102, -1, 117.9, 377.0)","(0, -1, 65.8, 333.5)","(102, -1, 152.5, 298.5)","(8, -1, 130.1, 338.2)","(0, -1, 58.0, 249.2)"
469,"(8, 2014, 78.5, 242.8)","(58, 2014, 78.1, 371.9)","(0, 2017, 80.4, 269.7)","(104, 2014, 91.8, 276.2)","(19, 2017, 97.3, 247.0)","(8, -1, 75.2, 240.6)","(58, -1, 78.6, 403.4)","(0, -1, 82.9, 267.0)","(104, -1, 97.1, 275.5)","(19, -1, 103.1, 242.4)"
470,"(19, 2017, 136.3, 290.2)","(58, 2017, 116.0, 358.1)","(58, 2013, 41.5, 230.6)","(58, 2015, 89.6, 289.0)","(25, 2013, 136.0, 328.1)","(19, -1, 108.9, 311.6)","(58, -1, 86.6, 310.6)","(58, -1, 44.1, 254.6)","(58, -1, 88.7, 313.0)","(25, -1, 104.4, 334.9)"
471,"(8, 2014, 79.5, 376.6)","(40, 2014, 88.9, 345.9)","(25, 2015, 63.2, 271.1)","(8, 2012, 106.3, 202.0)","(0, 2015, 70.3, 326.2)","(8, -1, 62.5, 380.6)","(40, -1, 89.8, 333.4)","(25, -1, 58.0, 279.0)","(8, -1, 120.1, 191.6)","(0, -1, 79.6, 300.9)"
472,"(4, 2013, 87.9, 388.6)","(40, 2014, 59.9, 376.8)","(40, 2016, 120.6, 278.3)","(104, 2014, 105.3, 327.0)","(25, 2012, 123.4, 234.6)","(4, -1, 91.7, 352.7)","(40, -1, 62.0, 397.3)","(40, -1, 101.9, 261.7)","(104, -1, 106.1, 324.1)","(25, -1, 125.0, 254.0)"
473,"(0, 2012, 136.1, 217.8)","(58, 2015, 67.8, 265.4)","(4, 2016, 100.5, 369.1)","(4, 2017, 105.2, 281.4)","(19, 2013, 107.0, 220.9)","(0, -1, 147.1, 210.5)","(58, -1, 74.3, 245.2)","(4, -1, 88.9, 358.3)","(4, -1, 104.2, 283.6)","(19, -1, 133.1, 212.5)"
474,"(0, 2015, 94.1, 327.4)","(19, 2014, 139.9, 280.5)","(4, 2016, 72.0, 232.1)","(19, 2014, 77.7, 314.6)","(4, 2016, 93.8, 357.5)","(0, -1, 92.4, 311.5)","(19, -1, 155.7, 307.4)","(4, -1, 81.1, 258.5)","(19, -1, 67.9, 297.9)","(4, -1, 73.6, 375.8)"
475,"(25, 2016, 118.9, 385.0)","(102, 2016, 109.0, 243.7)","(58, 2013, 49.3, 201.1)","(25, 2017, 83.5, 253.6)","(40, 2016, 100.5, 356.8)","(25, -1, 121.7, 446.9)","(102, -1, 126.7, 242.9)","(58, -1, 48.8, 210.8)","(25, -1, 91.2, 255.1)","(40, -1, 103.7, 343.8)"
476,"(58, 2015, 81.7, 289.3)","(0, 2012, 93.7, 325.0)","(25, 2016, 79.8, 306.3)","(19, 2017, 86.0, 251.5)","(102, 2013, 132.6, 298.8)","(58, -1, 74.5, 298.9)","(0, -1, 111.9, 328.8)","(25, -1, 78.6, 294.6)","(19, -1, 99.4, 244.8)","(102, -1, 133.8, 325.6)"
477,"(0, 2014, 126.4, 348.2)","(0, 2016, 110.4, 289.0)","(104, 2012, 110.1, 267.4)","(19, 2013, 138.8, 233.4)","(58, 2013, 109.1, 278.4)","(0, -1, 131.8, 359.7)","(0, -1, 107.2, 293.7)","(104, -1, 103.7, 243.5)","(19, -1, 135.6, 217.4)","(58, -1, 121.7, 283.4)"
478,"(40, 2014, 60.5, 223.8)","(102, 2016, 132.0, 286.6)","(19, 2017, 65.5, 267.4)","(8, 2015, 87.9, 355.9)","(104, 2016, 68.4, 386.6)","(40, -1, 54.9, 252.0)","(102, -1, 139.4, 334.4)","(19, -1, 58.8, 295.2)","(8, -1, 92.5, 372.9)","(104, -1, 68.9, 417.0)"
479,"(4, 2013, 109.6, 389.4)","(19, 2016, 120.4, 248.0)","(104, 2015, 86.6, 224.9)","(19, 2015, 103.3, 207.7)","(40, 2013, 118.0, 274.0)","(4, -1, 116.7, 396.3)","(19, -1, 103.0, 245.2)","(104, -1, 87.2, 236.3)","(19, -1, 113.1, 232.6)","(40, -1, 117.5, 267.4)"
480,"(4, 2012, 140.0, 335.4)","(8, 2017, 67.7, 353.6)","(58, 2013, 114.1, 246.8)","(19, 2017, 107.6, 273.5)","(8, 2015, 72.5, 316.3)","(4, -1, 175.5, 335.8)","(8, -1, 73.4, 382.7)","(58, -1, 107.3, 248.7)","(19, -1, 89.9, 291.8)","(8, -1, 62.7, 309.1)"
481,"(40, 2015, 104.3, 309.7)","(19, 2016, 92.5, 355.5)","(40, 2017, 71.7, 212.9)","(4, 2017, 55.8, 228.7)","(4, 2014, 66.4, 381.9)","(40, -1, 99.7, 353.5)","(19, -1, 93.0, 310.2)","(40, -1, 72.1, 202.2)","(4, -1, 59.2, 241.5)","(4, -1, 71.8, 378.0)"
482,"(40, 2015, 88.1, 214.7)","(104, 2012, 43.1, 310.3)","(19, 2017, 81.1, 268.6)","(8, 2013, 139.1, 345.8)","(8, 2015, 75.0, 246.0)","(40, -1, 104.8, 242.9)","(104, -1, 49.9, 349.7)","(19, -1, 81.4, 245.8)","(8, -1, 127.9, 362.0)","(8, -1, 65.3, 214.8)"
483,"(25, 2016, 101.8, 270.4)","(102, 2016, 98.1, 360.4)","(104, 2014, 88.5, 263.5)","(104, 2013, 99.8, 399.0)","(40, 2015, 99.1, 382.4)","(25, -1, 110.2, 307.4)","(102, -1, 109.4, 362.1)","(104, -1, 94.2, 281.7)","(104, -1, 105.6, 368.4)","(40, -1, 99.3, 427.1)"
484,"(40, 2014, 112.7, 234.9)","(19, 2012, 86.4, 323.2)","(102, 2015, 89.6, 236.7)","(58, 2014, 114.0, 367.0)","(0, 2017, 126.6, 371.4)","(40, -1, 115.0, 236.4)","(19, -1, 95.6, 290.3)","(102, -1, 82.4, 257.5)","(58, -1, 125.6, 357.0)","(0, -1, 130.4, 379.9)"
485,"(104, 2017, 89.4, 253.5)","(40, 2017, 88.3, 307.8)","(40, 2012, 127.3, 293.3)","(19, 2016, 98.6, 261.4)","(104, 2013, 95.6, 224.9)","(104, -1, 77.8, 271.8)","(40, -1, 92.1, 307.2)","(40, -1, 143.5, 305.6)","(19, -1, 106.9, 259.3)","(104, -1, 89.9, 216.0)"
486,"(102, 2013, 78.7, 318.1)","(25, 2012, 118.5, 328.3)","(102, 2015, 91.3, 298.7)","(4, 2013, 118.4, 296.7)","(19, 2013, 103.2, 253.6)","(102, -1, 73.2, 303.4)","(25, -1, 131.4, 297.0)","(102, -1, 98.5, 297.1)","(4, -1, 121.5, 264.2)","(19, -1, 93.6, 256.0)"
487,"(40, 2012, 124.9, 247.8)","(104, 2012, 118.4, 326.2)","(40, 2017, 111.6, 283.1)","(104, 2016, 97.5, 384.0)","(102, 2012, 93.2, 261.4)","(40, -1, 107.4, 250.8)","(104, -1, 126.5, 313.0)","(40, -1, 120.8, 279.0)","(104, -1, 94.0, 360.9)","(102, -1, 103.7, 300.7)"
488,"(19, 2012, 113.5, 253.8)","(40, 2014, 129.8, 241.0)","(58, 2015, 96.8, 265.2)","(40, 2014, 151.8, 203.4)","(19, 2012, 91.0, 261.4)","(19, -1, 122.4, 209.8)","(40, -1, 117.3, 224.3)","(58, -1, 96.6, 267.9)","(40, -1, 164.1, 208.2)","(19, -1, 79.4, 261.3)"
489,"(8, 2016, 87.0, 282.8)","(19, 2015, 114.3, 353.0)","(4, 2014, 130.2, 326.8)","(58, 2014, 112.0, 306.8)","(19, 2015, 101.8, 210.8)","(8, -1, 88.2, 299.1)","(19, -1, 122.4, 359.0)","(4, -1, 140.0, 310.5)","(58, -1, 133.1, 303.3)","(19, -1, 101.2, 208.9)"
490,"(102, 2017, 78.7, 225.9)","(102, 2012, 160.2, 214.5)","(40, 2015, 108.6, 328.0)","(8, 2014, 91.8, 204.3)","(4, 2013, 62.6, 332.3)","(102, -1, 63.5, 229.6)","(102, -1, 164.0, 192.5)","(40, -1, 84.3, 378.6)","(8, -1, 107.4, 185.6)","(4, -1, 63.8, 342.6)"
491,"(102, 2015, 91.6, 370.2)","(40, 2016, 120.5, 233.3)","(0, 2014, 88.2, 348.6)","(19, 2017, 91.6, 368.2)","(102, 2014, 121.8, 371.9)","(102, -1, 94.9, 368.9)","(40, -1, 123.7, 223.6)","(0, -1, 80.4, 345.2)","(19, -1, 101.6, 350.0)","(102, -1, 118.8, 322.3)"
492,"(4, 2013, 131.6, 307.3)","(0, 2013, 58.2, 396.2)","(104, 2013, 123.2, 266.9)","(4, 2013, 118.2, 284.6)","(102, 2012, 84.3, 289.5)","(4, -1, 138.1, 309.3)","(0, -1, 68.9, 415.0)","(104, -1, 114.0, 293.3)","(4, -1, 125.7, 314.5)","(102, -1, 83.7, 274.7)"
493,"(102, 2017, 74.9, 272.9)","(58, 2015, 66.7, 337.1)","(0, 2016, 97.9, 283.3)","(40, 2016, 85.0, 276.9)","(40, 2014, 70.0, 230.7)","(102, -1, 87.0, 242.1)","(58, -1, 57.0, 375.7)","(0, -1, 99.8, 284.4)","(40, -1, 75.8, 287.2)","(40, -1, 69.8, 230.9)"
494,"(58, 2012, 124.4, 316.3)","(40, 2014, 65.7, 353.3)","(19, 2016, 121.2, 266.7)","(19, 2015, 117.2, 379.0)","(104, 2012, 75.8, 290.8)","(58, -1, 138.7, 318.9)","(40, -1, 65.7, 357.3)","(19, -1, 92.2, 281.8)","(19, -1, 149.8, 369.8)","(104, -1, 76.8, 313.2)"
495,"(19, 2012, 94.7, 297.5)","(19, 2016, 95.4, 397.4)","(19, 2014, 112.7, 223.4)","(58, 2015, 97.7, 309.4)","(25, 2012, 88.6, 362.9)","(19, -1, 89.5, 305.6)","(19, -1, 74.1, 410.9)","(19, -1, 131.2, 217.4)","(58, -1, 94.9, 277.1)","(25, -1, 66.8, 383.8)"
496,"(8, 2014, 95.9, 303.0)","(40, 2012, 106.7, 259.9)","(4, 2017, 103.7, 314.2)","(104, 2014, 112.4, 398.1)","(104, 2013, 103.2, 274.0)","(8, -1, 98.3, 287.3)","(40, -1, 117.0, 230.8)","(4, -1, 111.9, 314.4)","(104, -1, 122.9, 384.3)","(104, -1, 133.0, 265.3)"
497,"(40, 2014, 105.5, 240.7)","(104, 2016, 75.4, 266.4)","(19, 2015, 103.6, 291.5)","(0, 2012, 115.8, 217.9)","(58, 2014, 62.0, 233.7)","(40, -1, 97.1, 215.9)","(104, -1, 90.3, 282.1)","(19, -1, 115.6, 270.4)","(0, -1, 111.0, 218.1)","(58, -1, 65.3, 188.3)"
498,"(19, 2016, 105.3, 311.3)","(4, 2015, 97.7, 396.6)","(102, 2017, 95.1, 266.5)","(104, 2014, 40.1, 310.4)","(19, 2014, 68.6, 252.8)","(19, -1, 109.7, 270.2)","(4, -1, 127.5, 399.1)","(102, -1, 87.4, 264.4)","(104, -1, 39.0, 307.0)","(19, -1, 67.8, 235.7)"
499,"(102, 2012, 94.1, 213.6)","(58, 2013, 120.7, 210.3)","(102, 2012, 84.0, 343.3)","(58, 2013, 88.6, 287.2)","(58, 2015, 122.1, 385.4)","(102, -1, 77.2, 199.1)","(58, -1, 116.0, 230.7)","(102, -1, 87.5, 360.3)","(58, -1, 87.3, 291.7)","(58, -1, 136.0, 393.8)"
500,"(102, 2012, 125.1, 260.3)","(104, 2016, 121.0, 268.3)","(40, 2016, 148.9, 293.1)","(58, 2017, 45.9, 362.6)","(19, 2016, 154.4, 234.6)","(102, -1, 156.4, 254.9)","(104, -1, 120.4, 259.5)","(40, -1, 159.1, 298.7)","(58, -1, 48.3, 315.3)","(19, -1, 160.1, 241.3)"
501,"(102, 2016, 109.2, 394.1)","(8, 2013, 93.5, 354.2)","(102, 2014, 110.2, 220.3)","(104, 2015, 115.0, 238.0)","(8, 2017, 148.1, 223.3)","(102, -1, 123.3, 403.8)","(8, -1, 99.7, 394.6)","(102, -1, 96.4, 189.9)","(104, -1, 102.4, 234.3)","(8, -1, 150.0, 186.3)"
502,"(19, 2016, 85.2, 274.3)","(4, 2015, 59.8, 396.2)","(104, 2012, 115.6, 265.6)","(4, 2013, 120.7, 357.9)","(0, 2013, 117.6, 376.2)","(19, -1, 85.4, 297.1)","(4, -1, 56.1, 367.1)","(104, -1, 120.5, 241.3)","(4, -1, 121.1, 310.9)","(0, -1, 110.8, 383.7)"
503,"(0, 2013, 121.3, 346.7)","(40, 2014, 83.4, 348.6)","(4, 2014, 124.0, 256.7)","(40, 2013, 71.8, 345.4)","(0, 2014, 95.7, 268.1)","(0, -1, 122.9, 354.7)","(40, -1, 74.3, 348.5)","(4, -1, 139.0, 301.0)","(40, -1, 71.8, 362.8)","(0, -1, 93.7, 287.4)"
504,"(19, 2015, 98.0, 386.0)","(104, 2015, 74.7, 204.2)","(0, 2015, 106.1, 269.2)","(104, 2015, 57.9, 394.0)","(25, 2017, 81.5, 360.2)","(19, -1, 118.5, 366.3)","(104, -1, 71.5, 188.6)","(0, -1, 91.6, 241.3)","(104, -1, 63.0, 378.8)","(25, -1, 83.4, 325.3)"
505,"(58, 2012, 97.8, 378.1)","(0, 2012, 113.0, 260.9)","(4, 2013, 104.5, 262.4)","(102, 2017, 123.8, 270.3)","(8, 2016, 116.8, 391.5)","(58, -1, 102.9, 351.8)","(0, -1, 89.3, 254.2)","(4, -1, 103.2, 245.2)","(102, -1, 129.5, 255.7)","(8, -1, 124.0, 390.3)"
506,"(58, 2017, 118.7, 320.5)","(19, 2017, 74.8, 281.1)","(25, 2014, 108.7, 386.5)","(25, 2014, 84.5, 394.1)","(40, 2017, 87.8, 226.2)","(58, -1, 129.4, 307.8)","(19, -1, 70.7, 297.9)","(25, -1, 115.6, 405.3)","(25, -1, 82.7, 332.1)","(40, -1, 77.5, 236.6)"
507,"(0, 2013, 131.1, 346.5)","(0, 2014, 83.8, 376.3)","(104, 2015, 112.8, 308.1)","(58, 2014, 159.4, 225.6)","(58, 2017, 78.6, 331.7)","(0, -1, 103.1, 332.1)","(0, -1, 79.7, 384.4)","(104, -1, 130.4, 304.6)","(58, -1, 160.6, 233.2)","(58, -1, 85.4, 350.1)"
508,"(25, 2013, 104.3, 328.2)","(104, 2014, 78.2, 290.2)","(0, 2013, 79.2, 221.4)","(102, 2014, 109.6, 369.6)","(40, 2015, 122.5, 337.7)","(25, -1, 104.4, 273.9)","(104, -1, 77.3, 300.0)","(0, -1, 75.1, 222.8)","(102, -1, 111.9, 348.5)","(40, -1, 95.2, 308.4)"
509,"(58, 2016, 115.1, 235.7)","(19, 2012, 93.5, 242.5)","(0, 2017, 85.8, 373.9)","(25, 2012, 127.7, 381.9)","(8, 2015, 77.9, 389.9)","(58, -1, 106.1, 242.1)","(19, -1, 96.7, 220.0)","(0, -1, 87.8, 396.7)","(25, -1, 114.9, 408.9)","(8, -1, 70.8, 379.6)"
510,"(4, 2014, 94.5, 329.5)","(102, 2013, 99.4, 267.0)","(4, 2017, 144.3, 304.0)","(0, 2017, 92.1, 253.1)","(8, 2014, 101.4, 277.6)","(4, -1, 99.0, 306.1)","(102, -1, 94.1, 279.4)","(4, -1, 137.7, 364.3)","(0, -1, 112.8, 231.3)","(8, -1, 112.3, 244.9)"
511,"(102, 2015, 82.0, 289.5)","(104, 2013, 66.3, 260.6)","(104, 2016, 77.2, 205.4)","(0, 2013, 90.5, 234.3)","(58, 2012, 82.5, 216.7)","(102, -1, 98.7, 298.6)","(104, -1, 70.6, 247.4)","(104, -1, 83.3, 211.5)","(0, -1, 90.5, 225.0)","(58, -1, 84.8, 208.7)"
512,"(40, 2014, 126.0, 275.9)","(25, 2016, 82.8, 368.0)","(102, 2017, 83.9, 337.9)","(25, 2016, 68.5, 325.2)","(0, 2013, 86.5, 262.7)","(40, -1, 142.0, 275.4)","(25, -1, 82.0, 379.4)","(102, -1, 81.9, 389.2)","(25, -1, 62.1, 346.4)","(0, -1, 102.1, 274.4)"
513,"(58, 2012, 93.0, 318.3)","(25, 2012, 121.4, 291.5)","(58, 2012, 101.4, 277.4)","(25, 2016, 80.9, 227.9)","(0, 2013, 103.4, 346.3)","(58, -1, 98.1, 326.6)","(25, -1, 140.5, 296.3)","(58, -1, 94.4, 265.7)","(25, -1, 91.8, 245.4)","(0, -1, 99.8, 326.0)"
514,"(8, 2016, 95.0, 318.7)","(104, 2012, 128.4, 355.4)","(102, 2012, 117.1, 373.2)","(104, 2013, 67.0, 390.4)","(58, 2012, 141.4, 267.4)","(8, -1, 90.2, 304.1)","(104, -1, 144.3, 298.8)","(102, -1, 116.7, 374.2)","(104, -1, 60.1, 400.5)","(58, -1, 140.6, 257.8)"
515,"(25, 2016, 105.7, 304.7)","(25, 2013, 127.5, 359.0)","(104, 2016, 103.6, 231.9)","(25, 2015, 108.4, 202.6)","(40, 2015, 80.9, 217.6)","(25, -1, 100.0, 311.6)","(25, -1, 122.5, 337.0)","(104, -1, 106.3, 240.3)","(25, -1, 116.6, 224.6)","(40, -1, 94.8, 210.3)"
516,"(19, 2016, 99.5, 298.9)","(25, 2014, 108.1, 367.9)","(8, 2012, 87.4, 221.0)","(8, 2015, 99.1, 285.9)","(102, 2016, 104.2, 216.6)","(19, -1, 88.6, 247.6)","(25, -1, 113.4, 371.4)","(8, -1, 89.6, 231.0)","(8, -1, 96.9, 219.8)","(102, -1, 102.7, 208.9)"
517,"(40, 2013, 101.5, 221.0)","(8, 2016, 91.6, 391.4)","(4, 2015, 55.4, 232.7)","(25, 2012, 114.6, 398.2)","(25, 2016, 83.6, 362.0)","(40, -1, 85.6, 208.9)","(8, -1, 95.8, 404.7)","(4, -1, 59.4, 236.5)","(25, -1, 120.4, 401.2)","(25, -1, 86.7, 354.8)"
518,"(4, 2015, 84.2, 216.1)","(104, 2016, 88.5, 345.8)","(8, 2016, 90.6, 305.8)","(40, 2015, 114.6, 221.2)","(104, 2014, 102.6, 350.5)","(4, -1, 74.9, 216.2)","(104, -1, 101.7, 309.2)","(8, -1, 87.6, 322.4)","(40, -1, 142.8, 210.5)","(104, -1, 119.7, 346.8)"
519,"(8, 2013, 76.1, 323.9)","(25, 2013, 44.8, 364.2)","(58, 2013, 90.5, 270.3)","(4, 2017, 137.7, 388.1)","(8, 2015, 89.8, 363.8)","(8, -1, 79.0, 341.6)","(25, -1, 38.6, 410.3)","(58, -1, 97.2, 297.7)","(4, -1, 160.5, 421.2)","(8, -1, 96.1, 325.2)"
520,"(58, 2014, 135.7, 323.7)","(8, 2017, 68.9, 327.3)","(0, 2012, 101.1, 262.7)","(0, 2017, 93.1, 391.9)","(58, 2017, 99.4, 248.1)","(58, -1, 117.6, 305.6)","(8, -1, 62.6, 300.5)","(0, -1, 95.2, 268.8)","(0, -1, 70.3, 353.9)","(58, -1, 121.0, 248.6)"
521,"(58, 2012, 63.3, 231.0)","(8, 2012, 118.6, 329.7)","(19, 2014, 123.5, 370.3)","(8, 2012, 80.4, 238.9)","(0, 2015, 104.8, 285.6)","(58, -1, 73.1, 238.6)","(8, -1, 117.0, 328.3)","(19, -1, 119.1, 374.2)","(8, -1, 92.0, 228.5)","(0, -1, 85.8, 275.5)"
522,"(58, 2016, 92.4, 316.3)","(4, 2012, 72.9, 250.3)","(25, 2016, 102.9, 221.9)","(25, 2014, 108.8, 364.4)","(8, 2017, 98.9, 397.0)","(58, -1, 101.3, 310.6)","(4, -1, 78.4, 251.4)","(25, -1, 98.1, 231.7)","(25, -1, 105.3, 392.8)","(8, -1, 113.1, 410.4)"
523,"(40, 2013, 80.7, 395.9)","(8, 2016, 122.9, 307.2)","(19, 2016, 115.8, 344.4)","(8, 2012, 44.1, 384.9)","(19, 2016, 112.1, 332.9)","(40, -1, 72.5, 394.8)","(8, -1, 122.4, 338.1)","(19, -1, 119.6, 352.8)","(8, -1, 47.3, 388.4)","(19, -1, 92.0, 309.4)"
524,"(104, 2012, 117.4, 351.1)","(8, 2013, 91.0, 392.8)","(25, 2016, 68.2, 261.3)","(102, 2013, 101.9, 246.0)","(19, 2013, 83.7, 303.5)","(104, -1, 112.0, 332.1)","(8, -1, 94.6, 448.1)","(25, -1, 70.5, 279.9)","(102, -1, 95.7, 276.8)","(19, -1, 102.1, 295.2)"
525,"(19, 2012, 123.8, 212.1)","(19, 2017, 127.3, 255.0)","(58, 2017, 78.5, 271.2)","(8, 2013, 98.8, 381.1)","(40, 2016, 142.8, 239.5)","(19, -1, 104.1, 209.5)","(19, -1, 113.9, 225.0)","(58, -1, 83.5, 283.9)","(8, -1, 101.0, 371.8)","(40, -1, 127.3, 260.4)"
526,"(104, 2016, 90.6, 336.3)","(102, 2012, 56.3, 298.1)","(19, 2013, 129.1, 371.7)","(19, 2013, 69.7, 257.5)","(102, 2013, 92.8, 271.0)","(104, -1, 85.9, 330.9)","(102, -1, 61.0, 301.7)","(19, -1, 112.4, 378.8)","(19, -1, 75.2, 293.4)","(102, -1, 97.2, 252.3)"
527,"(8, 2017, 96.8, 363.2)","(8, 2013, 95.8, 357.4)","(0, 2015, 74.3, 264.8)","(102, 2012, 145.0, 314.5)","(0, 2014, 140.5, 335.1)","(8, -1, 104.1, 398.3)","(8, -1, 99.9, 379.8)","(0, -1, 80.8, 247.1)","(102, -1, 146.6, 323.7)","(0, -1, 130.4, 317.5)"
528,"(40, 2014, 74.1, 393.9)","(25, 2015, 121.4, 356.7)","(104, 2013, 131.3, 247.2)","(58, 2016, 93.7, 240.6)","(25, 2013, 88.1, 286.9)","(40, -1, 67.9, 424.8)","(25, -1, 127.9, 360.4)","(104, -1, 148.2, 254.7)","(58, -1, 86.4, 270.2)","(25, -1, 78.2, 273.7)"
529,"(4, 2017, 67.9, 308.0)","(58, 2013, 132.6, 380.0)","(40, 2014, 83.1, 399.5)","(104, 2015, 118.5, 271.7)","(102, 2012, 92.7, 269.3)","(4, -1, 70.2, 294.2)","(58, -1, 127.0, 395.3)","(40, -1, 92.0, 358.0)","(104, -1, 139.6, 261.8)","(102, -1, 98.4, 258.1)"
530,"(25, 2017, 73.5, 245.6)","(8, 2017, 88.1, 219.5)","(8, 2013, 114.2, 295.6)","(0, 2012, 65.1, 268.0)","(4, 2012, 55.9, 269.9)","(25, -1, 83.1, 239.4)","(8, -1, 74.6, 182.1)","(8, -1, 121.7, 274.6)","(0, -1, 62.3, 253.0)","(4, -1, 53.9, 274.0)"
