Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10,SB11
277,"(40, 2015)","(58, 2014)","(40, 2014)","(8, 2014)","(40, 2012)","(40, 2012)","(58, 2013)","(58, 2017)","(4, 2013)","(104, 2015)","(4, 2012)","(40, 2016)"
278,"(4, 2017)","(40, 2017)","(58, 2014)","(4, 2014)","(25, 2017)","(58, 2014)","(25, 2015)","(4, 2015)","(0, 2013)","(4, 2016)","(0, 2015)","(8, 2015)"
279,"(19, 2012)","(25, 2017)","(8, 2014)","(40, 2012)","(58, 2016)","(4, 2013)","(25, 2015)","(0, 2017)","(58, 2014)","(0, 2017)","(40, 2012)","(104, 2012)"
280,"(25, 2012)","(58, 2014)","(4, 2013)","(25, 2015)","(25, 2012)","(58, 2017)","(19, 2016)","(8, 2014)","(40, 2013)","(58, 2016)","(8, 2014)","(19, 2012)"
281,"(102, 2015)","(8, 2014)","(40, 2013)","(8, 2017)","(4, 2016)","(25, 2017)","(8, 2012)","(4, 2013)","(19, 2016)","(102, 2012)","(0, 2016)","(40, 2015)"
282,"(8, 2017)","(0, 2013)","(19, 2013)","(8, 2014)","(19, 2016)","(4, 2016)","(8, 2013)","(58, 2016)","(58, 2015)","(40, 2013)","(4, 2015)","(102, 2016)"
283,"(8, 2015)","(58, 2014)","(0, 2014)","(8, 2015)","(40, 2014)","(40, 2013)","(40, 2012)","(40, 2017)","(25, 2016)","(0, 2012)","(102, 2014)","(25, 2012)"
284,"(4, 2012)","(8, 2016)","(4, 2013)","(102, 2014)","(0, 2015)","(4, 2015)","(104, 2014)","(25, 2017)","(4, 2013)","(40, 2012)","(25, 2012)","(104, 2017)"
285,"(40, 2017)","(104, 2016)","(4, 2013)","(102, 2013)","(25, 2014)","(58, 2017)","(25, 2013)","(8, 2013)","(0, 2017)","(102, 2017)","(4, 2017)","(0, 2012)"
286,"(58, 2013)","(102, 2014)","(104, 2016)","(102, 2015)","(40, 2016)","(58, 2017)","(104, 2017)","(0, 2016)","(104, 2017)","(40, 2016)","(19, 2017)","(104, 2016)"
287,"(0, 2015)","(40, 2014)","(8, 2016)","(4, 2017)","(4, 2013)","(4, 2015)","(102, 2016)","(8, 2017)","(0, 2012)","(40, 2016)","(40, 2014)","(8, 2013)"
288,"(19, 2015)","(19, 2016)","(8, 2014)","(0, 2017)","(19, 2016)","(19, 2012)","(25, 2013)","(40, 2015)","(0, 2017)","(0, 2013)","(25, 2012)","(40, 2013)"
289,"(40, 2015)","(8, 2015)","(25, 2015)","(0, 2017)","(19, 2016)","(0, 2014)","(40, 2015)","(104, 2013)","(4, 2015)","(58, 2015)","(102, 2016)","(25, 2012)"
290,"(0, 2017)","(58, 2017)","(4, 2014)","(102, 2016)","(4, 2015)","(40, 2016)","(58, 2015)","(19, 2014)","(4, 2016)","(4, 2012)","(58, 2013)","(104, 2015)"
291,"(102, 2015)","(8, 2017)","(8, 2017)","(104, 2014)","(104, 2015)","(19, 2017)","(40, 2015)","(19, 2013)","(19, 2013)","(4, 2015)","(104, 2014)","(40, 2017)"
292,"(25, 2012)","(102, 2016)","(19, 2017)","(102, 2014)","(4, 2016)","(19, 2017)","(0, 2012)","(102, 2016)","(104, 2013)","(8, 2012)","(8, 2013)","(8, 2016)"
293,"(19, 2012)","(0, 2016)","(40, 2013)","(19, 2015)","(19, 2013)","(4, 2015)","(0, 2013)","(58, 2017)","(104, 2015)","(8, 2013)","(19, 2017)","(102, 2016)"
294,"(40, 2013)","(4, 2012)","(8, 2013)","(102, 2013)","(19, 2014)","(40, 2012)","(4, 2012)","(58, 2016)","(102, 2014)","(102, 2017)","(58, 2013)","(104, 2013)"
295,"(4, 2013)","(104, 2013)","(40, 2016)","(58, 2014)","(102, 2017)","(25, 2012)","(4, 2013)","(4, 2017)","(102, 2013)","(25, 2014)","(40, 2013)","(104, 2015)"
296,"(58, 2017)","(40, 2014)","(58, 2014)","(19, 2014)","(8, 2014)","(8, 2012)","(0, 2014)","(4, 2016)","(104, 2013)","(58, 2015)","(58, 2013)","(25, 2012)"
297,"(19, 2016)","(104, 2017)","(25, 2014)","(19, 2013)","(19, 2014)","(0, 2014)","(0, 2017)","(25, 2012)","(58, 2015)","(0, 2014)","(8, 2014)","(8, 2015)"
298,"(104, 2012)","(40, 2014)","(0, 2016)","(4, 2015)","(102, 2014)","(25, 2016)","(104, 2015)","(0, 2017)","(58, 2016)","(4, 2015)","(19, 2012)","(0, 2015)"
299,"(4, 2016)","(40, 2017)","(40, 2016)","(102, 2012)","(25, 2014)","(25, 2016)","(19, 2013)","(104, 2013)","(8, 2013)","(102, 2014)","(19, 2013)","(0, 2012)"
300,"(0, 2012)","(25, 2017)","(58, 2013)","(0, 2017)","(0, 2014)","(40, 2015)","(8, 2014)","(104, 2012)","(8, 2013)","(8, 2012)","(40, 2016)","(0, 2013)"
301,"(19, 2016)","(8, 2014)","(4, 2013)","(104, 2014)","(4, 2016)","(0, 2012)","(4, 2013)","(102, 2016)","(104, 2015)","(102, 2015)","(104, 2015)","(58, 2017)"
302,"(0, 2016)","(0, 2015)","(58, 2016)","(8, 2013)","(19, 2014)","(58, 2016)","(4, 2016)","(19, 2013)","(25, 2016)","(25, 2012)","(40, 2012)","(40, 2015)"
303,"(19, 2015)","(58, 2016)","(25, 2013)","(4, 2015)","(102, 2012)","(8, 2016)","(19, 2016)","(0, 2014)","(40, 2014)","(102, 2017)","(25, 2015)","(8, 2017)"
304,"(104, 2016)","(8, 2013)","(19, 2013)","(0, 2017)","(40, 2013)","(0, 2015)","(25, 2017)","(19, 2017)","(104, 2012)","(102, 2017)","(0, 2017)","(19, 2014)"
305,"(40, 2017)","(8, 2014)","(102, 2012)","(0, 2015)","(58, 2013)","(4, 2015)","(0, 2017)","(102, 2016)","(102, 2017)","(25, 2012)","(0, 2014)","(19, 2016)"
306,"(19, 2016)","(0, 2016)","(4, 2015)","(8, 2014)","(102, 2017)","(0, 2017)","(8, 2014)","(19, 2012)","(8, 2017)","(104, 2015)","(0, 2012)","(8, 2014)"
307,"(104, 2016)","(4, 2016)","(104, 2014)","(0, 2016)","(8, 2015)","(40, 2014)","(19, 2013)","(104, 2013)","(102, 2016)","(104, 2017)","(58, 2014)","(25, 2016)"
308,"(4, 2015)","(8, 2016)","(58, 2012)","(25, 2012)","(8, 2015)","(102, 2017)","(19, 2016)","(0, 2016)","(102, 2012)","(4, 2017)","(8, 2017)","(104, 2013)"
309,"(4, 2014)","(4, 2013)","(102, 2017)","(104, 2014)","(19, 2014)","(104, 2017)","(25, 2016)","(104, 2016)","(102, 2014)","(58, 2017)","(25, 2014)","(4, 2014)"
310,"(40, 2014)","(40, 2012)","(19, 2013)","(40, 2012)","(0, 2012)","(19, 2016)","(58, 2014)","(0, 2017)","(8, 2014)","(40, 2015)","(58, 2012)","(40, 2013)"
311,"(58, 2013)","(102, 2012)","(40, 2015)","(4, 2017)","(40, 2013)","(25, 2012)","(8, 2015)","(8, 2015)","(8, 2016)","(58, 2014)","(4, 2017)","(19, 2016)"
312,"(58, 2012)","(25, 2017)","(19, 2013)","(40, 2012)","(102, 2013)","(8, 2015)","(104, 2015)","(40, 2012)","(102, 2014)","(19, 2016)","(0, 2012)","(8, 2017)"
313,"(25, 2015)","(40, 2015)","(58, 2013)","(102, 2013)","(0, 2014)","(102, 2016)","(102, 2016)","(25, 2013)","(104, 2013)","(104, 2013)","(25, 2014)","(19, 2017)"
314,"(104, 2014)","(104, 2014)","(40, 2014)","(0, 2014)","(25, 2014)","(104, 2012)","(8, 2012)","(40, 2015)","(0, 2016)","(25, 2012)","(19, 2014)","(102, 2017)"
315,"(4, 2015)","(102, 2015)","(25, 2013)","(0, 2016)","(19, 2012)","(40, 2017)","(58, 2015)","(40, 2012)","(40, 2017)","(4, 2017)","(0, 2017)","(102, 2012)"
316,"(25, 2014)","(19, 2014)","(104, 2013)","(40, 2012)","(58, 2012)","(40, 2017)","(40, 2016)","(0, 2017)","(0, 2015)","(102, 2016)","(102, 2014)","(104, 2017)"
317,"(0, 2012)","(0, 2015)","(40, 2012)","(40, 2015)","(4, 2015)","(40, 2014)","(4, 2017)","(40, 2014)","(102, 2014)","(25, 2012)","(102, 2014)","(8, 2015)"
318,"(0, 2012)","(102, 2013)","(19, 2012)","(102, 2014)","(4, 2014)","(40, 2014)","(40, 2016)","(102, 2013)","(0, 2012)","(19, 2016)","(19, 2013)","(58, 2017)"
319,"(104, 2015)","(8, 2012)","(4, 2012)","(19, 2015)","(4, 2015)","(19, 2015)","(104, 2012)","(104, 2015)","(102, 2015)","(25, 2016)","(102, 2013)","(4, 2016)"
320,"(58, 2014)","(58, 2016)","(58, 2012)","(4, 2014)","(4, 2015)","(104, 2012)","(102, 2016)","(0, 2013)","(58, 2015)","(58, 2016)","(19, 2016)","(19, 2015)"
321,"(19, 2014)","(19, 2017)","(25, 2017)","(102, 2017)","(19, 2013)","(8, 2015)","(4, 2013)","(8, 2014)","(19, 2014)","(8, 2015)","(58, 2012)","(40, 2015)"
322,"(4, 2013)","(102, 2017)","(8, 2016)","(8, 2015)","(102, 2012)","(104, 2016)","(0, 2017)","(19, 2013)","(58, 2014)","(58, 2016)","(102, 2012)","(25, 2013)"
323,"(4, 2016)","(8, 2017)","(40, 2017)","(19, 2014)","(4, 2015)","(58, 2012)","(4, 2017)","(104, 2013)","(40, 2015)","(19, 2016)","(19, 2016)","(102, 2014)"
324,"(58, 2012)","(8, 2017)","(104, 2016)","(40, 2012)","(40, 2012)","(104, 2014)","(104, 2015)","(102, 2014)","(4, 2012)","(58, 2016)","(104, 2015)","(102, 2014)"
325,"(8, 2012)","(40, 2017)","(102, 2015)","(102, 2016)","(58, 2016)","(0, 2014)","(19, 2012)","(8, 2014)","(25, 2016)","(40, 2015)","(4, 2012)","(4, 2012)"
326,"(8, 2012)","(104, 2013)","(104, 2012)","(40, 2013)","(8, 2015)","(58, 2012)","(0, 2016)","(25, 2016)","(58, 2017)","(40, 2016)","(102, 2016)","(58, 2013)"
327,"(19, 2012)","(40, 2012)","(19, 2013)","(102, 2017)","(104, 2016)","(4, 2017)","(4, 2017)","(8, 2014)","(8, 2014)","(102, 2017)","(40, 2013)","(58, 2014)"
328,"(19, 2014)","(8, 2016)","(40, 2017)","(8, 2016)","(8, 2013)","(19, 2012)","(0, 2012)","(0, 2012)","(40, 2016)","(102, 2013)","(19, 2016)","(0, 2012)"
329,"(104, 2015)","(102, 2016)","(4, 2016)","(104, 2015)","(58, 2014)","(25, 2013)","(104, 2013)","(58, 2013)","(25, 2017)","(102, 2015)","(0, 2014)","(25, 2017)"
330,"(104, 2013)","(40, 2016)","(0, 2016)","(58, 2012)","(102, 2016)","(104, 2012)","(8, 2013)","(104, 2016)","(58, 2013)","(25, 2013)","(104, 2012)","(40, 2017)"
331,"(40, 2013)","(25, 2016)","(104, 2013)","(4, 2017)","(102, 2013)","(4, 2014)","(40, 2015)","(4, 2012)","(19, 2017)","(0, 2017)","(8, 2013)","(102, 2012)"
332,"(0, 2017)","(4, 2016)","(40, 2014)","(102, 2014)","(102, 2014)","(0, 2016)","(25, 2014)","(25, 2016)","(19, 2016)","(104, 2013)","(102, 2014)","(102, 2016)"
333,"(25, 2013)","(8, 2015)","(102, 2017)","(19, 2017)","(8, 2015)","(4, 2014)","(102, 2015)","(0, 2013)","(25, 2015)","(25, 2015)","(40, 2017)","(25, 2015)"
334,"(40, 2012)","(102, 2015)","(19, 2013)","(104, 2015)","(40, 2012)","(102, 2012)","(104, 2015)","(19, 2015)","(40, 2016)","(40, 2014)","(25, 2017)","(19, 2013)"
335,"(8, 2012)","(40, 2015)","(4, 2012)","(104, 2012)","(104, 2013)","(19, 2015)","(58, 2016)","(8, 2014)","(40, 2016)","(104, 2017)","(8, 2016)","(40, 2013)"
336,"(0, 2013)","(4, 2013)","(25, 2012)","(4, 2013)","(104, 2013)","(104, 2013)","(8, 2017)","(4, 2012)","(58, 2014)","(8, 2012)","(40, 2012)","(19, 2013)"
337,"(40, 2012)","(25, 2016)","(40, 2016)","(25, 2015)","(8, 2017)","(40, 2016)","(25, 2013)","(58, 2013)","(25, 2015)","(4, 2014)","(104, 2014)","(58, 2013)"
338,"(58, 2016)","(0, 2015)","(8, 2012)","(58, 2014)","(104, 2015)","(102, 2017)","(4, 2012)","(4, 2014)","(0, 2016)","(4, 2014)","(25, 2016)","(4, 2013)"
339,"(4, 2012)","(25, 2015)","(58, 2014)","(25, 2012)","(8, 2016)","(102, 2012)","(25, 2012)","(8, 2012)","(40, 2013)","(8, 2017)","(58, 2017)","(40, 2013)"
340,"(102, 2013)","(104, 2013)","(40, 2012)","(8, 2015)","(104, 2015)","(104, 2017)","(102, 2017)","(19, 2013)","(58, 2016)","(0, 2012)","(40, 2015)","(0, 2015)"
341,"(40, 2015)","(58, 2012)","(0, 2013)","(40, 2014)","(25, 2017)","(0, 2012)","(8, 2017)","(25, 2016)","(40, 2012)","(4, 2017)","(0, 2012)","(102, 2014)"
342,"(8, 2012)","(19, 2013)","(58, 2015)","(8, 2013)","(8, 2016)","(102, 2012)","(104, 2015)","(58, 2015)","(0, 2016)","(104, 2014)","(0, 2015)","(104, 2014)"
343,"(25, 2012)","(40, 2012)","(40, 2015)","(8, 2017)","(25, 2015)","(104, 2017)","(0, 2012)","(0, 2016)","(4, 2014)","(25, 2016)","(4, 2016)","(19, 2015)"
344,"(104, 2012)","(0, 2014)","(40, 2016)","(104, 2013)","(0, 2014)","(0, 2013)","(0, 2014)","(40, 2014)","(40, 2017)","(102, 2015)","(102, 2014)","(104, 2017)"
345,"(19, 2017)","(58, 2013)","(4, 2016)","(40, 2017)","(25, 2016)","(19, 2014)","(25, 2012)","(4, 2016)","(0, 2016)","(4, 2014)","(0, 2012)","(0, 2013)"
346,"(58, 2014)","(102, 2016)","(102, 2016)","(58, 2012)","(58, 2012)","(0, 2015)","(102, 2017)","(40, 2012)","(104, 2016)","(104, 2014)","(0, 2015)","(104, 2014)"
347,"(0, 2016)","(58, 2016)","(58, 2015)","(102, 2013)","(8, 2017)","(4, 2017)","(40, 2014)","(25, 2013)","(19, 2017)","(102, 2015)","(40, 2015)","(40, 2015)"
348,"(58, 2015)","(8, 2014)","(58, 2014)","(102, 2016)","(25, 2014)","(58, 2017)","(25, 2012)","(104, 2017)","(0, 2017)","(104, 2016)","(104, 2012)","(8, 2016)"
349,"(40, 2012)","(4, 2012)","(102, 2015)","(0, 2013)","(58, 2017)","(8, 2015)","(8, 2015)","(58, 2013)","(0, 2016)","(8, 2014)","(40, 2017)","(4, 2017)"
350,"(8, 2013)","(8, 2016)","(19, 2016)","(8, 2014)","(4, 2017)","(0, 2012)","(102, 2017)","(4, 2014)","(25, 2017)","(102, 2017)","(4, 2012)","(4, 2012)"
351,"(40, 2014)","(4, 2013)","(8, 2016)","(0, 2014)","(104, 2012)","(102, 2012)","(104, 2016)","(58, 2013)","(40, 2013)","(25, 2014)","(58, 2016)","(8, 2016)"
352,"(25, 2013)","(25, 2012)","(40, 2014)","(40, 2014)","(40, 2017)","(102, 2017)","(19, 2015)","(4, 2012)","(0, 2013)","(102, 2015)","(0, 2016)","(58, 2014)"
353,"(40, 2013)","(102, 2017)","(58, 2013)","(4, 2014)","(104, 2017)","(4, 2016)","(104, 2015)","(0, 2016)","(0, 2016)","(19, 2013)","(102, 2016)","(104, 2016)"
354,"(25, 2016)","(4, 2012)","(19, 2013)","(0, 2014)","(4, 2014)","(40, 2017)","(19, 2017)","(104, 2014)","(0, 2016)","(40, 2017)","(102, 2016)","(8, 2017)"
355,"(58, 2015)","(4, 2017)","(8, 2015)","(8, 2013)","(40, 2016)","(8, 2016)","(102, 2016)","(102, 2013)","(102, 2013)","(8, 2013)","(25, 2017)","(0, 2014)"
356,"(19, 2013)","(19, 2015)","(104, 2015)","(104, 2012)","(104, 2015)","(8, 2013)","(40, 2016)","(4, 2012)","(25, 2016)","(58, 2014)","(4, 2016)","(104, 2015)"
357,"(102, 2012)","(104, 2014)","(4, 2013)","(40, 2013)","(40, 2017)","(58, 2017)","(8, 2012)","(4, 2015)","(58, 2016)","(104, 2013)","(25, 2012)","(4, 2017)"
358,"(4, 2014)","(104, 2014)","(0, 2012)","(8, 2015)","(104, 2012)","(40, 2017)","(0, 2015)","(58, 2017)","(102, 2014)","(102, 2014)","(25, 2015)","(4, 2012)"
359,"(102, 2017)","(104, 2015)","(104, 2015)","(58, 2013)","(19, 2013)","(102, 2016)","(4, 2012)","(25, 2012)","(25, 2015)","(8, 2014)","(19, 2016)","(102, 2016)"
360,"(19, 2013)","(8, 2012)","(19, 2015)","(104, 2015)","(104, 2012)","(4, 2012)","(0, 2017)","(102, 2013)","(58, 2012)","(40, 2012)","(8, 2017)","(102, 2017)"
361,"(104, 2014)","(40, 2014)","(104, 2017)","(25, 2015)","(4, 2013)","(19, 2016)","(0, 2013)","(104, 2016)","(102, 2017)","(40, 2013)","(102, 2017)","(58, 2013)"
362,"(0, 2017)","(8, 2016)","(40, 2013)","(104, 2017)","(102, 2017)","(104, 2013)","(19, 2012)","(25, 2016)","(58, 2013)","(0, 2017)","(58, 2013)","(0, 2013)"
363,"(4, 2016)","(102, 2014)","(104, 2013)","(25, 2014)","(0, 2016)","(104, 2014)","(104, 2017)","(0, 2013)","(8, 2016)","(102, 2012)","(8, 2013)","(25, 2017)"
364,"(102, 2016)","(58, 2013)","(25, 2015)","(4, 2012)","(102, 2016)","(8, 2014)","(4, 2014)","(58, 2017)","(102, 2012)","(58, 2016)","(102, 2016)","(104, 2015)"
365,"(19, 2013)","(8, 2012)","(8, 2014)","(58, 2015)","(4, 2015)","(40, 2013)","(19, 2017)","(102, 2014)","(0, 2017)","(104, 2016)","(0, 2015)","(58, 2014)"
366,"(4, 2014)","(102, 2015)","(8, 2015)","(4, 2013)","(25, 2015)","(19, 2015)","(102, 2012)","(8, 2013)","(40, 2015)","(104, 2015)","(102, 2016)","(104, 2015)"
367,"(25, 2015)","(8, 2015)","(8, 2012)","(8, 2014)","(25, 2013)","(40, 2017)","(8, 2015)","(102, 2017)","(102, 2016)","(58, 2014)","(102, 2013)","(25, 2013)"
368,"(4, 2012)","(102, 2012)","(19, 2017)","(104, 2014)","(0, 2017)","(25, 2013)","(19, 2013)","(8, 2016)","(40, 2013)","(8, 2014)","(8, 2016)","(4, 2012)"
369,"(104, 2012)","(19, 2017)","(8, 2016)","(58, 2012)","(40, 2017)","(19, 2015)","(102, 2017)","(0, 2012)","(4, 2012)","(19, 2016)","(8, 2013)","(0, 2017)"
370,"(8, 2013)","(102, 2012)","(40, 2016)","(19, 2012)","(40, 2015)","(8, 2015)","(25, 2012)","(0, 2013)","(102, 2014)","(0, 2017)","(19, 2016)","(40, 2013)"
371,"(25, 2015)","(40, 2017)","(25, 2012)","(8, 2015)","(19, 2012)","(102, 2017)","(19, 2014)","(19, 2014)","(4, 2014)","(102, 2016)","(58, 2014)","(4, 2012)"
372,"(25, 2013)","(8, 2017)","(102, 2017)","(0, 2013)","(25, 2016)","(25, 2014)","(8, 2013)","(58, 2016)","(25, 2012)","(104, 2015)","(0, 2013)","(25, 2014)"
373,"(40, 2014)","(8, 2012)","(0, 2015)","(58, 2016)","(58, 2015)","(8, 2016)","(8, 2017)","(58, 2015)","(4, 2014)","(102, 2017)","(40, 2014)","(104, 2012)"
374,"(40, 2012)","(58, 2015)","(40, 2012)","(19, 2012)","(25, 2013)","(40, 2015)","(8, 2017)","(102, 2016)","(58, 2015)","(8, 2014)","(19, 2014)","(104, 2015)"
375,"(0, 2016)","(4, 2013)","(58, 2013)","(8, 2017)","(25, 2016)","(25, 2017)","(0, 2016)","(8, 2012)","(0, 2015)","(19, 2016)","(40, 2016)","(58, 2013)"
376,"(58, 2017)","(19, 2012)","(102, 2017)","(19, 2014)","(104, 2017)","(19, 2017)","(25, 2017)","(104, 2013)","(104, 2012)","(4, 2015)","(8, 2014)","(40, 2017)"
377,"(40, 2013)","(40, 2017)","(4, 2015)","(8, 2014)","(8, 2013)","(104, 2014)","(0, 2012)","(4, 2013)","(8, 2015)","(4, 2013)","(40, 2016)","(102, 2016)"
378,"(0, 2014)","(58, 2012)","(4, 2013)","(40, 2017)","(19, 2013)","(19, 2016)","(4, 2013)","(25, 2012)","(8, 2017)","(58, 2013)","(40, 2015)","(40, 2015)"
379,"(25, 2017)","(40, 2017)","(19, 2016)","(104, 2012)","(4, 2012)","(104, 2016)","(58, 2017)","(4, 2017)","(19, 2014)","(0, 2017)","(19, 2017)","(58, 2016)"
380,"(58, 2017)","(4, 2015)","(25, 2015)","(40, 2013)","(58, 2013)","(104, 2012)","(19, 2012)","(4, 2015)","(0, 2015)","(4, 2013)","(4, 2017)","(58, 2014)"
381,"(0, 2015)","(8, 2014)","(4, 2014)","(25, 2012)","(25, 2013)","(4, 2013)","(0, 2017)","(0, 2012)","(8, 2012)","(25, 2012)","(104, 2012)","(4, 2013)"
382,"(104, 2017)","(4, 2015)","(8, 2012)","(40, 2012)","(4, 2017)","(4, 2016)","(104, 2014)","(40, 2016)","(104, 2012)","(104, 2017)","(4, 2012)","(102, 2013)"
383,"(8, 2012)","(104, 2013)","(40, 2017)","(58, 2017)","(0, 2012)","(40, 2014)","(58, 2013)","(40, 2013)","(25, 2017)","(58, 2014)","(4, 2015)","(0, 2012)"
384,"(104, 2013)","(40, 2013)","(25, 2014)","(4, 2015)","(25, 2014)","(102, 2013)","(4, 2012)","(102, 2016)","(104, 2015)","(58, 2013)","(102, 2012)","(40, 2015)"
385,"(104, 2015)","(40, 2012)","(104, 2017)","(0, 2016)","(104, 2017)","(19, 2012)","(40, 2013)","(102, 2015)","(8, 2014)","(58, 2016)","(8, 2012)","(104, 2017)"
386,"(58, 2014)","(25, 2016)","(25, 2016)","(25, 2014)","(19, 2012)","(25, 2012)","(25, 2016)","(102, 2014)","(19, 2012)","(8, 2012)","(102, 2014)","(58, 2012)"
387,"(8, 2013)","(25, 2015)","(8, 2015)","(8, 2013)","(104, 2012)","(4, 2016)","(58, 2014)","(0, 2015)","(0, 2013)","(0, 2012)","(8, 2017)","(19, 2013)"
388,"(58, 2014)","(25, 2015)","(102, 2012)","(19, 2012)","(25, 2017)","(58, 2014)","(104, 2017)","(8, 2016)","(0, 2017)","(4, 2014)","(58, 2014)","(8, 2017)"
389,"(102, 2015)","(8, 2015)","(25, 2017)","(4, 2017)","(58, 2014)","(4, 2016)","(58, 2013)","(102, 2012)","(102, 2014)","(102, 2017)","(25, 2014)","(104, 2013)"
390,"(0, 2013)","(104, 2015)","(25, 2012)","(4, 2017)","(8, 2016)","(8, 2016)","(58, 2017)","(0, 2013)","(58, 2012)","(19, 2013)","(8, 2016)","(58, 2012)"
391,"(4, 2014)","(4, 2012)","(40, 2015)","(102, 2014)","(8, 2012)","(8, 2014)","(58, 2014)","(104, 2013)","(8, 2017)","(25, 2016)","(40, 2017)","(4, 2015)"
392,"(19, 2015)","(58, 2012)","(58, 2014)","(102, 2014)","(4, 2012)","(8, 2015)","(104, 2017)","(58, 2012)","(104, 2014)","(8, 2013)","(19, 2014)","(8, 2012)"
393,"(102, 2013)","(40, 2016)","(58, 2013)","(102, 2012)","(0, 2012)","(104, 2016)","(0, 2015)","(58, 2013)","(102, 2014)","(25, 2017)","(40, 2013)","(104, 2016)"
394,"(4, 2013)","(4, 2013)","(102, 2014)","(19, 2013)","(25, 2016)","(102, 2012)","(19, 2014)","(19, 2013)","(19, 2015)","(8, 2012)","(40, 2016)","(25, 2016)"
395,"(40, 2014)","(8, 2017)","(104, 2012)","(40, 2014)","(40, 2014)","(40, 2013)","(4, 2016)","(0, 2016)","(25, 2015)","(19, 2017)","(25, 2012)","(19, 2014)"
396,"(19, 2015)","(58, 2016)","(4, 2017)","(4, 2013)","(25, 2012)","(102, 2013)","(102, 2017)","(40, 2013)","(0, 2015)","(8, 2012)","(4, 2013)","(8, 2012)"
397,"(40, 2014)","(25, 2012)","(104, 2013)","(19, 2016)","(0, 2016)","(104, 2015)","(102, 2017)","(40, 2012)","(58, 2012)","(102, 2012)","(102, 2015)","(102, 2013)"
398,"(4, 2015)","(102, 2013)","(40, 2014)","(104, 2017)","(4, 2014)","(19, 2016)","(8, 2013)","(40, 2017)","(102, 2013)","(40, 2012)","(8, 2016)","(58, 2015)"
399,"(102, 2012)","(102, 2017)","(25, 2013)","(104, 2012)","(104, 2013)","(4, 2015)","(8, 2012)","(0, 2014)","(4, 2012)","(58, 2014)","(104, 2017)","(58, 2013)"
400,"(102, 2015)","(8, 2016)","(104, 2017)","(58, 2013)","(58, 2015)","(25, 2016)","(4, 2014)","(8, 2013)","(104, 2013)","(0, 2017)","(19, 2017)","(58, 2017)"
401,"(58, 2012)","(102, 2015)","(58, 2013)","(40, 2012)","(25, 2014)","(0, 2015)","(25, 2013)","(40, 2016)","(4, 2017)","(40, 2016)","(19, 2013)","(40, 2014)"
402,"(102, 2013)","(58, 2016)","(0, 2017)","(25, 2016)","(8, 2015)","(19, 2016)","(58, 2012)","(19, 2015)","(58, 2012)","(40, 2017)","(40, 2016)","(8, 2017)"
403,"(8, 2017)","(40, 2014)","(102, 2017)","(25, 2016)","(8, 2017)","(102, 2017)","(40, 2013)","(0, 2016)","(0, 2016)","(19, 2016)","(40, 2014)","(19, 2014)"
404,"(4, 2017)","(4, 2013)","(40, 2013)","(8, 2013)","(58, 2015)","(4, 2016)","(58, 2012)","(19, 2014)","(58, 2012)","(58, 2017)","(0, 2017)","(25, 2013)"
405,"(104, 2014)","(40, 2012)","(19, 2015)","(104, 2014)","(40, 2013)","(104, 2016)","(8, 2016)","(40, 2014)","(4, 2012)","(8, 2017)","(4, 2017)","(58, 2014)"
406,"(19, 2014)","(102, 2014)","(4, 2014)","(58, 2016)","(4, 2015)","(8, 2015)","(104, 2017)","(4, 2013)","(104, 2012)","(19, 2016)","(40, 2017)","(0, 2016)"
407,"(58, 2015)","(4, 2017)","(0, 2017)","(8, 2013)","(4, 2017)","(8, 2016)","(8, 2012)","(40, 2015)","(40, 2013)","(8, 2014)","(8, 2015)","(40, 2012)"
408,"(4, 2017)","(8, 2012)","(19, 2012)","(102, 2014)","(8, 2017)","(8, 2013)","(19, 2015)","(0, 2014)","(58, 2017)","(40, 2013)","(40, 2013)","(4, 2012)"
409,"(58, 2013)","(25, 2017)","(8, 2014)","(102, 2016)","(0, 2014)","(102, 2016)","(19, 2016)","(19, 2012)","(8, 2016)","(102, 2013)","(40, 2015)","(104, 2014)"
410,"(40, 2016)","(4, 2013)","(4, 2016)","(104, 2014)","(25, 2013)","(102, 2017)","(102, 2016)","(40, 2016)","(104, 2015)","(58, 2017)","(4, 2017)","(8, 2012)"
411,"(8, 2013)","(8, 2013)","(4, 2012)","(19, 2015)","(4, 2013)","(4, 2012)","(8, 2017)","(58, 2012)","(102, 2017)","(19, 2012)","(4, 2015)","(0, 2012)"
412,"(102, 2012)","(25, 2013)","(102, 2012)","(58, 2012)","(8, 2016)","(25, 2012)","(102, 2013)","(102, 2012)","(19, 2017)","(102, 2017)","(19, 2013)","(4, 2015)"
413,"(25, 2014)","(104, 2012)","(102, 2014)","(19, 2015)","(19, 2014)","(102, 2015)","(102, 2012)","(19, 2013)","(102, 2014)","(19, 2016)","(0, 2013)","(40, 2014)"
414,"(102, 2013)","(19, 2014)","(102, 2014)","(19, 2017)","(19, 2012)","(19, 2012)","(102, 2017)","(40, 2015)","(19, 2015)","(102, 2014)","(104, 2012)","(8, 2013)"
415,"(104, 2012)","(58, 2015)","(104, 2012)","(8, 2013)","(104, 2016)","(58, 2017)","(0, 2013)","(8, 2012)","(19, 2016)","(58, 2014)","(104, 2014)","(104, 2013)"
